chemical,Drug
CIDs00003226,Enflurane
CIDs00003229,Enoxacin
CIDs00003278,Ethacrynic Acid
CIDs00003283,Ether
CIDs00003291,Ethosuximide
CIDs00003307,Etizolam
CIDs00003314,Eugenol
CIDs00003324,Famciclovir
CIDs00003331,Felbamate
CIDs00003333,Felodipine
CIDs00003335,Fenbufen
CIDs00003337,Fenfluramine
CIDs00003339,Fenofibrate
CIDs00003342,Fenoprofen
CIDs00003345,Fentanyl
CIDs00003348,Fexofenadine
CIDs00003354,Flavoxate
CIDs00003365,Fluconazole
CIDs00003366,Flucytosine
CIDs00003371,Flufenamic Acid
CIDs00003372,Fluphenazine
CIDs00003373,Flumazenil
CIDs00003380,Flunitrazepam
CIDs00003386,Fluoxetine
CIDs00003393,Flurazepam
CIDs00003394,Flurbiprofen
CIDs00003396,Fluspirilene
CIDs00003397,Flutamide
CIDs00003410,Formoterol
CIDs00003440,Furosemide
CIDs00003446,Gabapentin
CIDs00003463,Gemfibrozil
CIDs00003467,Gentamicin
CIDs00003475,Gliclazide
CIDs00003476,Glimepiride
CIDs00003485,Glutaraldehyde
CIDs00003487,Glutethimide
CIDs00003488,Glibenclamide
CIDs00003510,Granisetron
CIDs00003518,Guanethidine
CIDs00003519,Guanfacine
CIDs00003559,Haloperidol
CIDs00003562,Halothane
CIDs00003607,Hexetidine
CIDs00003610,Hexylresorcinol
CIDs00003637,Hydralazine
CIDs00003639,Hydrochlorothiazide
CIDs00003647,Hydroflumethiazide
CIDs00003652,Hydroxychloroquine
CIDs00003657,Hydroxyurea
CIDs00003658,Hydroxyzine
CIDs00003672,Ibuprofen
CIDs00003675,Phenelzine
CIDs00003676,Lidocaine
CIDs00003686,Idebenone
CIDs00003690,Ifosfamide
CIDs00003696,Imipramine
CIDs00003702,Indapamide
CIDs00003715,Indomethacin
CIDs00003720,Inositol Nicotinate
CIDs00003724,Iodixanol
CIDs00003730,Iohexol
CIDs00003731,Iomeprol
CIDs00003735,Iopanoic Acid
CIDs00003736,Iopromide
CIDs00003738,Iotrolan
CIDs00003739,Iodipamide
CIDs00003741,Ioversol
CIDs00003748,Iproniazid
CIDs00003749,Irbesartan
CIDs00003759,Isocarboxazid
CIDs00003760,Isoconazole
CIDs00003763,Isoflurane
CIDs00003767,Isoniazid
CIDs00003775,Isopropamide
CIDs00003778,Propyphenazone
CIDs00003783,Isoxsuprine
CIDs00003784,Isradipine
CIDs00003792,Itopride
CIDs00003821,Ketamine
CIDs00003822,Ketanserin
CIDs00003826,Ketorolac
CIDs00003827,Ketotifen
CIDs00003869,Labetalol
CIDs00003878,Lamotrigine
CIDs00003879,Lanatoside C
CIDs00003883,Lansoprazole
CIDs00003899,Leflunomide
CIDs00003902,Letrozole
CIDs00003926,Lidoflazine
CIDs00003947,Lofepramine
CIDs00003948,Lomefloxacin
CIDs00003950,Lomustine
CIDs00003957,Loratadine
CIDs00003958,Lorazepam
CIDs00003961,Losartan
CIDs00003964,Loxapine
CIDs00004004,Malathion
CIDs00004011,Maprotiline
CIDs00004020,Mazindol
CIDs00004030,Mebendazole
CIDs00004031,Mebeverine
CIDs00004041,Medazepam
CIDs00004044,Mefenamic Acid
CIDs00004047,Mefruside
CIDs00004054,Memantine
CIDs00004057,Mepenzolate
CIDs00004062,Mepivacaine
CIDs00004064,Meprobamate
CIDs00004066,Mequitazine
CIDs00004075,Mesalazine
CIDs00004089,Methenolone Enanthate
CIDs00004091,Metformin
CIDs00004093,Methacrylic Acid
CIDs00004095,Methadone
CIDs00004107,Methocarbamol
CIDs00004116,Methoxyflurane
CIDs00004121,Methyclothiazide
CIDs00004138,Methyldopa
CIDs00004158,Methylphenidate
CIDs00004168,Metoclopramide
CIDs00004170,Metolazone
CIDs00004171,Metoprolol
CIDs00004173,Metronidazole
CIDs00004174,Metyrapone
CIDs00004178,Mexiletine
CIDs00004184,Mianserin
CIDs00004189,Miconazole
CIDs00004192,Midazolam
CIDs00004195,Midodrine
CIDs00004197,Milrinone
CIDs00004201,Minoxidil
CIDs00004205,Mirtazapine
CIDs00004211,Mitotane
CIDs00004235,Moclobemide
CIDs00004236,Modafinil
CIDs00004274,Tetrofosmin
CIDs00004409,Nabumetone
CIDs00004417,Naftidrofuryl
CIDs00004421,Nalidixic Acid
CIDs00004440,Naratriptan
CIDs00004449,Nefazodone
CIDs00004450,Nefopam
CIDs00004456,Neostigmine
CIDs00004458,Geraniol
CIDs00004463,Nevirapine
CIDs00004477,Niclosamide
CIDs00004485,Nifedipine
CIDs00004497,Nimodipine
CIDs00004499,Nisoldipine
CIDs00004506,Nitrazepam
CIDs00004507,Nitrendipine
CIDs00004510,Glyceryl Trinitrate
CIDs00004539,Norfloxacin
CIDs00004543,Nortriptyline
CIDs00004583,Ofloxacin
CIDs00004594,Omeprazole
CIDs00004595,Ondansetron
CIDs00004601,Orphenadrine
CIDs00004609,Oxaliplatin
CIDs00004612,Oxamniquine
CIDs00004615,Oxatomide
CIDs00004616,Oxazepam
CIDs00004621,Oxethazaine
CIDs00004631,Oxprenolol
CIDs00004633,Oxybuprocaine
CIDs00004634,Oxybutynin
CIDs00004636,Oxymetazoline
CIDs00004640,Oxypertine
CIDs00004641,Oxyphenbutazone
CIDs00004679,Pantoprazole
CIDs00004680,Papaverine
CIDs00004723,Pemoline
CIDs00004735,Pentamidine
CIDs00004737,Pentobarbital
CIDs00004740,Pentoxifylline
CIDs00004748,Perphenazine
CIDs00004754,Phenacetin
CIDs00004756,Phenazopyridine
CIDs00004760,Phenindione
CIDs00004761,Pheniramine
CIDs00004762,Phenmetrazine
CIDs00004763,Phenobarbital
CIDs00004764,Phenolphthalein
CIDs00004767,Phenothrin
CIDs00004768,Phenoxybenzamine
CIDs00004771,Phentermine
CIDs00004781,Phenylbutazone
CIDs00004786,Phenylpropanolamine
CIDs00004810,Moxonidine
CIDs00004828,Pindolol
CIDs00004829,Pioglitazone
CIDs00004837,Piperazine
CIDs00004843,Piracetam
CIDs00004848,Pirenzepine
CIDs00004849,Piretanide
CIDs00004873,Potassium Chloride
CIDs00004875,Potassium Iodide
CIDs00004883,Practolol
CIDs00004890,Prazepam
CIDs00004891,Praziquantel
CIDs00004893,Prazosin
CIDs00004906,Prilocaine
CIDs00004909,Primidone
CIDs00004911,Probenecid
CIDs00004912,Probucol
CIDs00004913,Procainamide
CIDs00004914,Procaine
CIDs00004915,Procarbazine
CIDs00004917,Prochlorperazine
CIDs00004919,Procyclidine
CIDs00004926,Promazine
CIDs00004927,Promethazine
CIDs00004932,Propafenone
CIDs00004934,Propantheline
CIDs00004942,Propiverine
CIDs00004943,Propofol
CIDs00004946,Propranolol
CIDs00004949,Propyliodone
CIDs00004976,Protriptyline
CIDs00004991,Pyridostigmine
CIDs00004992,Mepyramine
CIDs00004993,Pyrimethamine
CIDs00005002,Quetiapine
CIDs00005029,Rabeprazole
CIDs00005035,Raloxifene
CIDs00005054,Resorcinol
CIDs00005070,Riluzole
CIDs00005073,Risperidone
CIDs00005078,Rizatriptan
CIDs00005090,Rofecoxib
CIDs00005095,Ropinirole
CIDs00005147,Salicylamide
CIDs00005152,Salmeterol
CIDs00005161,Salsalate
CIDs00005206,Sevoflurane
CIDs00005210,Sibutramine
CIDs00005235,Sodium Fluoride
