chemical,Drug
CIDs00667477,Doxepin
CIDs00688020,Crotamiton
CIDs00697993,2-Mercaptobenzothiazole
CIDs00708857,Pyrantel
CIDs00736282,Lobeline
CIDs00853433,Isoeugenol
CIDs00941361,Flunarizine
CIDs01201549,Benztropine
CIDs01547484,Cinnarizine
CIDs01548943,Capsaicin
CIDs02724354,Succimer
CIDs02724385,Digoxin
CIDs02761171,Ethionamide
CIDs02826718,Caspofungin
CIDs03000226,Fusidic Acid
CIDs03001055,Ranitidine
CIDs03002190,Telithromycin
CIDs03002977,Maraviroc
CIDs03010818,Telaprevir
CIDs03011155,Nelarabine
CIDs03033637,Nizatidine
CIDs03033825,Levosimendan
CIDs03033860,Loprazolam
CIDs03033887,Ranitidine Bismuth Citrate
CIDs03033968,Gestodene
CIDs03034010,Orlistat
CIDs03036505,Ospemifene
CIDs03036780,Asenapine
CIDs03052762,Prucalopride
CIDs03081361,Vandetanib
CIDs03085017,Sevelamer
CIDs04369359,Sitagliptin
CIDs04474062,Flosequinan
CIDs04659569,Tolcapone
CIDs04715169,Pregabalin
CIDs05251503,Noxythiolin
CIDs05273469,Benzyl Cinnamate
CIDs05280965,Amphotericin B
CIDs05280980,Clavulanic Acid
CIDs05281004,Budesonide
CIDs05281006,Cefprozil
CIDs05281034,Oxymetholone
CIDs05281037,Eprosartan
CIDs05281040,Montelukast
CIDs05281042,Mivacurium
CIDs05281071,Olopatadine
CIDs05281075,Carboprost
CIDs05281081,Entacapone
CIDs05281099,Natamycin
CIDs05281104,Paricalcitol
CIDs05281613,Diosmin
CIDs05281881,Flupenthixol
CIDs05282226,Travoprost
CIDs05282375,Etretinate
CIDs05282379,Isotretinoin
CIDs05282381,Misoprostol
CIDs05282411,Epoprostenol
CIDs05282412,Indocyanine Green
CIDs05282593,Homatropine
CIDs05283734,Tacalcitol
CIDs05284371,Codeine
CIDs05284513,Acitretin
CIDs05284514,Acrivastine
CIDs05284533,Chlormadinone
CIDs05284537,Cyproterone
CIDs05284543,Dihydrocodeine
CIDs05284549,Dorzolamide
CIDs05284555,Estropipate
CIDs05284569,Hydrocodone
CIDs05284570,Hydromorphone
CIDs05284583,Levetiracetam
CIDs05284594,Nalmefene
CIDs05284596,Naloxone
CIDs05284603,Oxycodone
CIDs05284627,Topiramate
CIDs05288783,Calcipotriol
CIDs05288826,Morphine
CIDs05310993,Acipimox
CIDs05311000,Alclometasone
CIDs05311010,Atosiban
CIDs05311027,Bimatoprost
CIDs05311051,Clobetasol
CIDs05311068,Dexmedetomidine
CIDs05311101,Fluticasone
CIDs05311181,Iloprost
CIDs05311217,Lacidipine
CIDs05311221,Latanoprost
CIDs05311266,Magnesium Trisilicate
CIDs05311304,Nalbuphine
CIDs05311309,Nateglinide
CIDs05311356,Pholcodine
CIDs05311412,Rimexolone
CIDs05311454,Stiripentol
CIDs05311497,Vinorelbine
CIDs05311507,Zuclopenthixol
CIDs05315892,Cinnamyl Alcohol
CIDs05323714,Furazolidone
CIDs05328940,Bosutinib
CIDs05329102,Sunitinib
CIDs05330286,Palbociclib
CIDs05359272,Levorphanol
CIDs05359371,Levallorphan
CIDs05360373,Bleomycin
CIDs05360515,Naltrexone
CIDs05360696,Dextromethorphan
CIDs05361092,Butorphanol
CIDs05362065,Cefixime
CIDs05362129,Ramipril
CIDs05362440,Indinavir
CIDs05368010,Crotethamide
CIDs05388906,Bedaquiline
CIDs05388937,Quinupristin
CIDs05447130,Nitrofurazone
CIDs05460037,Dextran
CIDs05462099,Indium-111
CIDs05464343,Imidapril
CIDs05479529,Cefuroxime
CIDs05479530,Ceftriaxone
CIDs05479537,Cefepime
CIDs05479539,Cefpirome
CIDs05481173,Ceftazidime
CIDs05484727,Trandolapril
CIDs05486699,Troxerutin
CIDs05486971,Pregabalin
CIDs05487426,Tiotropium Bromide
CIDs05493444,Aliskiren
CIDs05702160,Famotidine
CIDs05742673,Cefotaxime
CIDs05742832,Aztreonam
CIDs06178111,Proguanil
CIDs06323289,Dalfopristin
CIDs06324616,Rifamycin
CIDs06326970,Selenium
CIDs06335825,Radium-223
CIDs06335986,Cefpodoxime
CIDs06400916,Methylprednisolone
CIDs06433272,Nystatin
CIDs06433427,Nifuratel
CIDs06433516,Simethicone
CIDs06434870,Gemeprost
CIDs06435415,Cilastatin
CIDs06435893,Cyclosporin
CIDs06436173,Rifaximin
CIDs06442177,Everolimus
CIDs06450551,Axitinib
CIDs06451149,Netupitant
CIDs06451164,Rilpivirine
CIDs06473881,Parthenolide
CIDs06480466,Delamanid
CIDs06509979,Pimecrolimus
CIDs06533629,Ceftizoxime
CIDs06540478,Norgestimate
CIDs06604200,Nitrofurantoin
CIDs06708482,Fosinopril
CIDs06915944,Cefdinir
CIDs06917715,Etonogestrel
CIDs06918140,Treprostinil
CIDs06918155,Ciclesonide
CIDs06918182,Strontium Ranelate
CIDs06918289,Temsirolimus
CIDs06918296,Dutasteride
CIDs06918456,Prasugrel
CIDs06918485,Isavuconazole
CIDs06918493,Ambrisentan
CIDs06918537,Vildagliptin
CIDs06918554,Indacaterol
CIDs06918558,Fesoterodine
CIDs06918670,Ingenol Mebutate
CIDs06918837,Panobinostat
CIDs09552079,Chlorhexidine
CIDs09568512,Thiacetazone
CIDs09796590,Orteronel
CIDs09820753,Exametazime
CIDs09823820,Lenvatinib
CIDs09829523,Midostaurin
CIDs09835049,Avibactam
CIDs09837243,Brivaracetam
CIDs09852519,Avatrombopag
CIDs09852981,Ceftaroline Fosamil
CIDs09853053,Lomitapide
CIDs09853654,Pentagastrin
CIDs09854073,Cabazitaxel
CIDs09865528,Mirabegron
CIDs09868491,Tafluprost
CIDs09869929,Avanafil
CIDs09875401,Rivaroxaban
CIDs09881504,Eslicarbazepine
CIDs09882105,Treosulfan
CIDs09887712,Dapagliflozin
CIDs09911830,Tivozanib
CIDs09913767,Selexipag
CIDs09915743,Neratinib
CIDs09924495,Perampanel
CIDs09926791,Tofacitinib
CIDs09948102,Pitolisant
CIDs09966051,Vortioxetine
CIDs10034073,Fidaxomicin
CIDs10096344,Linagliptin
CIDs10113978,Pazopanib
CIDs10127622,Selumetinib
CIDs10182969,Apixaban
CIDs10184653,Afatinib
CIDs10184665,Vilanterol
CIDs10221470,Artenimol
CIDs10280735,Edoxaban
CIDs10288191,Binimetinib
CIDs10324367,Boceprevir
CIDs10482134,Glycerol Phenylbutyrate
CIDs10629256,Vinflunine
CIDs11001318,Tafamidis
CIDs11002006,Naloxol
CIDs11154555,Cariprazine
CIDs11167602,Regorafenib
CIDs11219835,Ataluren
CIDs11234049,Tedizolid
CIDs11243969,Saxagliptin
CIDs11245343,Prednisolone
CIDs11304743,Riociguat
CIDs11315474,Apatinib
CIDs11319217,Fostemsavir
CIDs11354606,Eribulin
CIDs11363176,Ponesimod
CIDs11434515,Aclidinium
CIDs11450633,Alogliptin
CIDs11511120,Dacomitinib
CIDs11518241,Trifarotene
CIDs11528249,Voclosporin
CIDs11556711,Carfilzomib
CIDs11561674,Apremilast
CIDs11625818,Idelalisib
CIDs11626560,Crizotinib
CIDs11663568,Retapamulin
CIDs11671467,Fostamatinib
CIDs11949646,Empagliflozin
CIDs11954369,Diflucortolone
CIDs11960529,Veliparib
CIDs12041444,Gadobutrol
CIDs13505246,Ursodeoxycholic Acid
CIDs13559281,Ulipristal
CIDs15951529,Enzalutamide
CIDs16004692,Macitentan
CIDs16129704,Bivalirudin
CIDs16129778,Tannic Acid
CIDs16130199,Enfuvirtide
CIDs16134395,Daptomycin
CIDs16135415,Ziconotide
CIDs16136245,Degarelix
CIDs16137271,Insulin Detemir
CIDs16220172,Ivacaftor
CIDs16222096,Cobimetinib
CIDs16678941,Lumacaftor
CIDs16681432,Carbetocin
CIDs16722836,Fedratinib
CIDs20054914,Fluclorolone Acetonide
CIDs21252245,Chenodeoxycholic Acid
CIDs23725625,Olaparib
CIDs24776445,Vismodegib
CIDs24812758,Canagliflozin
CIDs24826799,Ponatinib
CIDs24873435,Simeprevir
CIDs24958200,Niraparib
CIDs25025298,Telotristat
CIDs25062766,Momelotinib
CIDs25074470,Triptorelin
CIDs25077649,Nafarelin
CIDs25102847,Cabozantinib
CIDs25151504,Cobicistat
CIDs25166913,Glasdegib
CIDs25183872,Ixazomib
CIDs44129647,Relebactam
CIDs44205240,Baricitinib
CIDs44263835,Collodion
CIDs44462760,Dabrafenib
CIDs44599207,Siponimod
CIDs44631912,Ribociclib
CIDs44814423,Ertugliflozin
CIDs45138674,Letermovir
CIDs45358122,Deoxycholic Acid
CIDs45375808,Sofosbuvir
CIDs46220502,Abemaciclib
CIDs49846579,Venetoclax
CIDs51049968,Rimegepant
CIDs52938427,Ozanimod
CIDs53911549,Fusidic Acid
CIDs54671203,Doxycycline
CIDs54675779,Oxytetracycline
CIDs54680675,Clomocycline
CIDs54684141,Teriflunomide
CIDs54707177,Lymecycline
CIDs54726192,Eravacycline
CIDs54767916,Ombitasvir
CIDs56603655,Pegaptanib
CIDs56843331,Semaglutide
CIDs57379345,Ceritinib
CIDs58460047,Doravirine
CIDs67505836,Ledipasvir
CIDs67683363,Velpatasvir
CIDs70683024,Pegfilgrastim
CIDs71661251,Elbasvir
CIDs73348210,Pasireotide
CIDs76324338,Spiramycin
CIDs86278348,Ferric Derisomaltose
CIDs86278362,Pegvaliase
CIDs90472060,Lixisenatide
CIDm00000187,Acetylcholine
CIDm00000204,Allantoin
CIDm00000205,Threonine
CIDm00000222,Ammonia
CIDm00000232,Arginine
CIDm00000236,Asparagine
CIDm00000239,Beta-Alanine
CIDm00000244,Benzyl Alcohol
CIDm00000247,Betaine
CIDm00000280,Carbon Dioxide
CIDm00000298,Chloramphenicol
CIDm00000305,Choline
CIDm00000307,Cinnamaldehyde
CIDm00000308,Cinnamyl Alcohol
CIDm00000311,Citric Acid
CIDm00000389,Ornithine
CIDm00000401,Cycloserine
CIDm00000444,Bupropion
CIDm00000450,Estradiol
CIDm00000453,Mannitol
CIDm00000460,Guaiacol
CIDm00000596,Cytarabine
CIDm00000602,Alanine
CIDm00000611,Glutamic Acid
CIDm00000681,Dopamine
CIDm00000698,Estrone
CIDm00000700,Ethanolamine
CIDm00000702,Ethanol
CIDm00000750,Glycine
CIDm00000753,Glycerol
CIDm00000772,Heparin
CIDm00000773,Histidine
CIDm00000774,Histamine
CIDm00000784,Hydrogen Peroxide
CIDm00000791,Isoleucine
CIDm00000815,Kanamycin
CIDm00000836,Levodopa
CIDm00000838,Epinephrine
CIDm00000857,Leucine
CIDm00000866,Lysine
CIDm00000876,Methionine
CIDm00000896,Melatonin
CIDm00000942,Nicotine
CIDm00000977,Oxygen
CIDm00000994,Phenylalanine
CIDm00000996,Phenol
CIDm00001046,Pyrazinamide
CIDm00001065,Quinine
CIDm00001115,Sucrose
CIDm00001123,Taurine
CIDm00001148,Tryptophan
CIDm00001153,Tyrosine
CIDm00001174,Uracil
CIDm00001775,Phenytoin
CIDm00001839,Nitrofurazone
CIDm00001935,Tacrine
CIDm00001972,Amphotericin B
CIDm00001978,Acebutolol
CIDm00001981,Acemetacin
CIDm00001983,Paracetamol
CIDm00001986,Acetazolamide
CIDm00001989,Acetohexamide
CIDm00002021,Spectinomycin
CIDm00002073,Ajmaline
CIDm00002082,Albendazole
CIDm00002083,Salbutamol
CIDm00002092,Alfuzosin
CIDm00002118,Alprazolam
CIDm00002130,Amantadine
CIDm00002141,Amifostine
CIDm00002142,Amikacin
CIDm00002145,Aminoglutethimide
CIDm00002153,Theophylline
CIDm00002159,Amisulpride
CIDm00002160,Amitriptyline
CIDm00002162,Amlodipine
CIDm00002168,Amorolfine
CIDm00002170,Amoxapine
CIDm00002172,Clavulanic Acid
CIDm00002175,Sultamicillin
CIDm00002177,Amprenavir
CIDm00002179,Amsacrine
CIDm00002187,Anastrozole
CIDm00002200,Antazoline
CIDm00002202,Dithranol
CIDm00002216,Apraclonidine
CIDm00002232,Argatroban
CIDm00002244,Aspirin
CIDm00002247,Astemizole
CIDm00002249,Atenolol
CIDm00002250,Atorvastatin
CIDm00002265,Azathioprine
CIDm00002266,Azelaic Acid
CIDm00002267,Azelastine
CIDm00002269,Azithromycin
CIDm00002274,Aztreonam
CIDm00002282,Bacampicillin
CIDm00002284,Baclofen
CIDm00002315,Bendrofluazide
CIDm00002327,Benserazide
CIDm00002333,Benzbromarone
CIDm00002337,Benzocaine
CIDm00002343,Benzthiazide
CIDm00002344,Benztropine
CIDm00002349,Penicillin
CIDm00002366,Betahistine
CIDm00002368,Bethanidine
CIDm00002369,Betaxolol
CIDm00002370,Bethanechol
CIDm00002375,Bicalutamide
CIDm00002378,Bifonazole
CIDm00002381,Biperiden
CIDm00002405,Bisoprolol
CIDm00002431,Bretylium
CIDm00002435,Brimonidine
CIDm00002441,Bromazepam
CIDm00002443,Bromocriptine
CIDm00002450,Bronopol
CIDm00002462,Budesonide
CIDm00002466,Bufexamac
CIDm00002471,Bumetanide
CIDm00002474,Bupivacaine
CIDm00002476,Buprenorphine
CIDm00002477,Buspirone
CIDm00002484,Butenafine
CIDm00002487,Butorphanol
CIDm00002512,Cabergoline
CIDm00002519,Caffeine
CIDm00002520,Verapamil
CIDm00002522,Calcipotriol
CIDm00002537,Camphor
CIDm00002538,Camptothecin
CIDm00002541,Candesartan
CIDm00002548,Capsaicin
CIDm00002550,Captopril
CIDm00002554,Carbamazepine
CIDm00002563,Carbidopa
CIDm00002564,Carbinoxamine
CIDm00002576,Carisoprodol
CIDm00002583,Carteolol
CIDm00002585,Carvedilol
CIDm00002609,Cefaclor
CIDm00002610,Cefadroxil
CIDm00002612,Cephalothin
CIDm00002622,Cefepime
CIDm00002646,Cefprozil
CIDm00002650,Ceftazidime
CIDm00002655,Ceftizoxime
CIDm00002662,Celecoxib
CIDm00002663,Celiprolol
CIDm00002673,Cephradine
CIDm00002675,Cefixime
CIDm00002678,Cetirizine
CIDm00002707,Chloral Hydrate
CIDm00002708,Chlorambucil
CIDm00002712,Chlordiazepoxide
CIDm00002713,Chlorhexidine
CIDm00002717,Chlormezanone
CIDm00002719,Chloroquine
CIDm00002723,Chloroxylenol
CIDm00002725,Chlorpheniramine
CIDm00002726,Chlorpromazine
CIDm00002727,Chlorpropamide
CIDm00002729,Chlorprothixene
CIDm00002732,Chlorthalidone
CIDm00002751,Cilazapril
CIDm00002754,Cilostazol
CIDm00002756,Cimetidine
CIDm00002761,Cinnarizine
CIDm00002762,Cinoxacin
CIDm00002763,Ciprofibrate
CIDm00002764,Ciprofloxacin
CIDm00002769,Cisapride
CIDm00002771,Citalopram
CIDm00002781,Clemastine
CIDm00002782,Clemizole
CIDm00002783,Clenbuterol
CIDm00002786,Clindamycin
CIDm00002788,Clioquinol
CIDm00002789,Clobazam
CIDm00002794,Clofazimine
CIDm00002796,Clofibrate
CIDm00002801,Clomipramine
CIDm00002802,Clonazepam
CIDm00002803,Clonidine
CIDm00002804,Clopamide
CIDm00002806,Clopidogrel
CIDm00002812,Clotrimazole
CIDm00002833,Colchicine
CIDm00002866,Yohimbine
CIDm00002883,Crotamiton
CIDm00002893,Cyclandelate
CIDm00002895,Cyclobenzaprine
CIDm00002898,Cyclofenil
CIDm00002904,Cyclopenthiazide
CIDm00002905,Cyclopentolate
CIDm00002907,Cyclophosphamide
CIDm00002913,Cyproheptadine
CIDm00002949,Danazol
CIDm00002950,Danthron
CIDm00002955,Dapsone
CIDm00002972,Deferiprone
CIDm00002993,Dequalinium
CIDm00002995,Desipramine
CIDm00002998,Nonivamide
CIDm00002999,Gestodene
CIDm00003003,Dexamethasone
CIDm00003008,Dextromethorphan
CIDm00003015,Cyproterone
CIDm00003016,Diazepam
CIDm00003019,Diazoxide
CIDm00003037,Dichlorophen
CIDm00003038,Dichlorphenamide
CIDm00003042,Dicyclomine
CIDm00003054,Estrogen
CIDm00003059,Diflunisal
CIDm00003061,Digitoxin
CIDm00003062,Digoxin
CIDm00003063,Dihydrocodeine
CIDm00003066,Dihydroergotamine
CIDm00003100,Diphenhydramine
CIDm00003103,Diphenylpyraline
CIDm00003108,Dipyridamole
CIDm00003114,Disopyramide
CIDm00003117,Disulfiram
CIDm00003143,Docetaxel
CIDm00003148,Dolasetron
CIDm00003151,Domperidone
CIDm00003152,Donepezil
CIDm00003154,Dorzolamide
CIDm00003156,Doxapram
CIDm00003157,Doxazosin
CIDm00003158,Doxepin
CIDm00003162,Doxylamine
CIDm00003167,Drostanolone
CIDm00003168,Droperidol
CIDm00003181,Dydrogesterone
CIDm00003191,Ebastine
CIDm00003198,Econazole
CIDm00003202,Edrophonium
CIDm00003203,Efavirenz
CIDm00003219,Emedastine
CIDm00003222,Enalapril
CIDm00003226,Enflurane
CIDm00003229,Enoxacin
CIDm00003251,Ergotamine
CIDm00003255,Erythromycin
CIDm00003278,Ethacrynic Acid
CIDm00003279,Ethambutol
CIDm00003283,Ether
CIDm00003291,Ethosuximide
CIDm00003307,Etizolam
CIDm00003310,Etoposide
CIDm00003312,Etretinate
CIDm00003314,Eugenol
CIDm00003324,Famciclovir
CIDm00003325,Famotidine
CIDm00003331,Felbamate
CIDm00003333,Felodipine
CIDm00003335,Fenbufen
CIDm00003337,Fenfluramine
CIDm00003339,Fenofibrate
CIDm00003342,Fenoprofen
CIDm00003345,Fentanyl
CIDm00003348,Fexofenadine
CIDm00003350,Finasteride
CIDm00003354,Flavoxate
CIDm00003364,Flucloxacillin
CIDm00003365,Fluconazole
CIDm00003366,Flucytosine
CIDm00003371,Flufenamic Acid
CIDm00003372,Fluphenazine
CIDm00003373,Flumazenil
CIDm00003375,Flumethasone
CIDm00003379,Flunisolide
CIDm00003380,Flunitrazepam
CIDm00003382,Fluocinonide
CIDm00003384,Fluorometholone
CIDm00003386,Fluoxetine
CIDm00003392,Flurandrenolone
CIDm00003393,Flurazepam
CIDm00003394,Flurbiprofen
CIDm00003396,Fluspirilene
CIDm00003397,Flutamide
CIDm00003403,Fluvastatin
CIDm00003404,Fluvoxamine
CIDm00003410,Formoterol
CIDm00003417,Fosfomycin
CIDm00003435,Furazolidone
CIDm00003440,Furosemide
CIDm00003443,Fusidic Acid
CIDm00003446,Gabapentin
CIDm00003449,Galantamine
CIDm00003461,Gemcitabine
CIDm00003462,Gemeprost
CIDm00003463,Gemfibrozil
CIDm00003467,Gentamicin
CIDm00003475,Gliclazide
CIDm00003476,Glimepiride
CIDm00003485,Glutaraldehyde
CIDm00003487,Glutethimide
CIDm00003488,Glibenclamide
CIDm00003510,Granisetron
CIDm00003512,Griseofulvin
CIDm00003518,Guanethidine
CIDm00003519,Guanfacine
CIDm00003553,Halcinonide
CIDm00003559,Haloperidol
CIDm00003562,Halothane
CIDm00003607,Hexetidine
CIDm00003610,Hexylresorcinol
CIDm00003623,Homatropine
CIDm00003637,Hydralazine
CIDm00003639,Hydrochlorothiazide
CIDm00003647,Hydroflumethiazide
CIDm00003648,Hydromorphone
CIDm00003652,Hydroxychloroquine
CIDm00003657,Hydroxyurea
CIDm00003658,Hydroxyzine
CIDm00003661,Atropine
CIDm00003672,Ibuprofen
CIDm00003675,Phenelzine
CIDm00003676,Lidocaine
CIDm00003686,Idebenone
CIDm00003690,Ifosfamide
CIDm00003693,Imidapril
CIDm00003695,Imipenem
CIDm00003696,Imipramine
CIDm00003702,Indapamide
CIDm00003706,Indinavir
CIDm00003715,Indomethacin
CIDm00003720,Inositol Nicotinate
CIDm00003724,Iodixanol
CIDm00003730,Iohexol
CIDm00003731,Iomeprol
CIDm00003734,Iopamidol
CIDm00003735,Iopanoic Acid
CIDm00003736,Iopromide
CIDm00003738,Iotrolan
CIDm00003739,Iodipamide
CIDm00003741,Ioversol
CIDm00003748,Iproniazid
CIDm00003749,Irbesartan
CIDm00003759,Isocarboxazid
CIDm00003760,Isoconazole
CIDm00003763,Isoflurane
CIDm00003767,Isoniazid
CIDm00003775,Isopropamide
CIDm00003778,Propyphenazone
CIDm00003783,Isoxsuprine
CIDm00003784,Isradipine
CIDm00003792,Itopride
CIDm00003793,Itraconazole
CIDm00003817,Lopinavir
CIDm00003821,Ketamine
CIDm00003822,Ketanserin
CIDm00003823,Ketoconazole
CIDm00003826,Ketorolac
CIDm00003827,Ketotifen
CIDm00003869,Labetalol
CIDm00003871,Lactitol
CIDm00003872,Lactulose
CIDm00003877,Lamivudine
CIDm00003878,Lamotrigine
CIDm00003879,Lanatoside C
CIDm00003883,Lansoprazole
CIDm00003890,Latanoprost
CIDm00003899,Leflunomide
CIDm00003902,Letrozole
CIDm00003912,Levallorphan
CIDm00003913,Levamisole
CIDm00003914,Levobunolol
CIDm00003915,Levocabastine
CIDm00003916,Levomepromazine
CIDm00003926,Lidoflazine
CIDm00003928,Lincomycin
CIDm00003929,Linezolid
CIDm00003937,Lisinopril
CIDm00003945,Lobeline
CIDm00003947,Lofepramine
CIDm00003948,Lomefloxacin
CIDm00003950,Lomustine
CIDm00003957,Loratadine
CIDm00003958,Lorazepam
CIDm00003961,Losartan
CIDm00003962,Lovastatin
CIDm00003964,Loxapine
CIDm00004004,Malathion
CIDm00004011,Maprotiline
CIDm00004020,Mazindol
CIDm00004030,Mebendazole
CIDm00004031,Mebeverine
CIDm00004041,Medazepam
CIDm00004044,Mefenamic Acid
CIDm00004046,Mefloquine
CIDm00004047,Mefruside
CIDm00004049,Meglumine
CIDm00004053,Melphalan
CIDm00004054,Memantine
CIDm00004057,Mepenzolate
CIDm00004062,Mepivacaine
CIDm00004064,Meprobamate
CIDm00004066,Mequitazine
CIDm00004075,Mesalazine
CIDm00004080,Mestranol
CIDm00004087,Metaraminol
CIDm00004089,Methenolone Enanthate
CIDm00004090,Metergoline
CIDm00004091,Metformin
CIDm00004093,Methacrylic Acid
CIDm00004095,Methadone
CIDm00004107,Methocarbamol
CIDm00004112,Methotrexate
CIDm00004116,Methoxyflurane
CIDm00004121,Methyclothiazide
CIDm00004138,Methyldopa
CIDm00004158,Methylphenidate
CIDm00004159,Methylprednisolone
CIDm00004163,Methysergide
CIDm00004168,Metoclopramide
CIDm00004170,Metolazone
CIDm00004171,Metoprolol
CIDm00004173,Metronidazole
CIDm00004174,Metyrapone
CIDm00004178,Mexiletine
CIDm00004184,Mianserin
CIDm00004189,Miconazole
CIDm00004192,Midazolam
CIDm00004195,Midodrine
CIDm00004196,Mifepristone
CIDm00004197,Milrinone
CIDm00004201,Minoxidil
CIDm00004205,Mirtazapine
CIDm00004211,Mitotane
CIDm00004235,Moclobemide
CIDm00004236,Modafinil
CIDm00004248,Montelukast
CIDm00004253,Morphine
CIDm00004259,Moxifloxacin
CIDm00004264,Mupirocin
CIDm00004274,Tetrofosmin
CIDm00004409,Nabumetone
CIDm00004411,Nadolol
CIDm00004417,Naftidrofuryl
CIDm00004419,Nalbuphine
CIDm00004421,Nalidixic Acid
CIDm00004422,Nalmefene
CIDm00004425,Naloxone
CIDm00004428,Naltrexone
CIDm00004440,Naratriptan
CIDm00004443,Nateglinide
CIDm00004449,Nefazodone
CIDm00004450,Nefopam
CIDm00004451,Nelfinavir
CIDm00004454,Neomycin
CIDm00004456,Neostigmine
CIDm00004458,Geraniol
CIDm00004460,Netilmicin
CIDm00004463,Nevirapine
CIDm00004477,Niclosamide
CIDm00004485,Nifedipine
CIDm00004497,Nimodipine
CIDm00004499,Nisoldipine
CIDm00004506,Nitrazepam
CIDm00004507,Nitrendipine
CIDm00004509,Nitrofurantoin
CIDm00004510,Glyceryl Trinitrate
CIDm00004513,Nizatidine
CIDm00004539,Norfloxacin
CIDm00004542,Levonorgestrel
CIDm00004543,Nortriptyline
CIDm00004544,Noscapine
CIDm00004547,Repaglinide
CIDm00004568,Nystatin
CIDm00004583,Levofloxacin
CIDm00004594,Omeprazole
CIDm00004595,Ondansetron
CIDm00004599,Orlistat
CIDm00004601,Orphenadrine
CIDm00004603,Oseltamivir
CIDm00004612,Oxamniquine
CIDm00004615,Oxatomide
CIDm00004616,Oxazepam
CIDm00004621,Oxethazaine
CIDm00004631,Oxprenolol
CIDm00004633,Oxybuprocaine
CIDm00004634,Oxybutynin
CIDm00004635,Oxycodone
CIDm00004636,Oxymetazoline
CIDm00004638,Oxymetholone
CIDm00004640,Oxypertine
CIDm00004641,Oxyphenbutazone
CIDm00004666,Paclitaxel
CIDm00004675,Pancuronium
CIDm00004678,Dexpanthenol
CIDm00004679,Pantoprazole
CIDm00004680,Papaverine
CIDm00004691,Paroxetine
CIDm00004692,Parthenolide
CIDm00004723,Pemoline
CIDm00004724,Penbutolol
CIDm00004734,Pentagastrin
CIDm00004735,Pentamidine
CIDm00004736,Pentazocine
CIDm00004737,Pentobarbital
CIDm00004739,Pentostatin
CIDm00004740,Pentoxifylline
CIDm00004745,Pergolide
CIDm00004748,Perphenazine
CIDm00004754,Phenacetin
CIDm00004756,Phenazopyridine
CIDm00004760,Phenindione
CIDm00004762,Phenmetrazine
CIDm00004763,Phenobarbital
CIDm00004764,Phenolphthalein
CIDm00004767,Phenothrin
CIDm00004768,Phenoxybenzamine
CIDm00004771,Phentermine
CIDm00004781,Phenylbutazone
CIDm00004782,Phenylephrine
CIDm00004810,Moxonidine
CIDm00004819,Pilocarpine
CIDm00004828,Pindolol
CIDm00004829,Pioglitazone
CIDm00004836,Tazobactam
CIDm00004837,Piperazine
CIDm00004843,Piracetam
CIDm00004848,Pirenzepine
CIDm00004849,Piretanide
CIDm00004857,Pivmecillinam
CIDm00004865,Podophyllotoxin
CIDm00004873,Potassium Chloride
CIDm00004875,Potassium Iodide
CIDm00004883,Practolol
CIDm00004885,Pramipexole
CIDm00004889,Pravastatin
CIDm00004890,Prazepam
CIDm00004891,Praziquantel
CIDm00004893,Prazosin
CIDm00004894,Prednisolone
CIDm00004900,Prednisone
CIDm00004906,Prilocaine
CIDm00004909,Primidone
CIDm00004911,Probenecid
CIDm00004912,Probucol
CIDm00004913,Procainamide
CIDm00004914,Procaine
CIDm00004915,Procarbazine
CIDm00004917,Prochlorperazine
CIDm00004919,Procyclidine
CIDm00004920,Progesterone
CIDm00004923,Proguanil
CIDm00004926,Promazine
CIDm00004927,Promethazine
CIDm00004932,Propafenone
CIDm00004934,Propantheline
CIDm00004942,Propiverine
CIDm00004943,Propofol
CIDm00004946,Propranolol
CIDm00004949,Propyliodone
CIDm00004976,Protriptyline
CIDm00004989,Pyrantel
CIDm00004991,Pyridostigmine
CIDm00004992,Mepyramine
CIDm00004993,Pyrimethamine
CIDm00005002,Quetiapine
CIDm00005005,Quinapril
CIDm00005029,Rabeprazole
CIDm00005032,Ephedrine
CIDm00005035,Raloxifene
CIDm00005038,Ramipril
CIDm00005039,Ranitidine
CIDm00005052,Reserpine
CIDm00005054,Resorcinol
CIDm00005064,Ribavirin
CIDm00005070,Riluzole
CIDm00005073,Risperidone
CIDm00005076,Ritonavir
CIDm00005077,Rivastigmine
CIDm00005078,Rizatriptan
CIDm00005090,Rofecoxib
CIDm00005095,Ropinirole
CIDm00005147,Salicylamide
CIDm00005152,Salmeterol
CIDm00005155,Stavudine
CIDm00005161,Salsalate
CIDm00005195,Selegiline
CIDm00005203,Sertraline
CIDm00005206,Sevoflurane
CIDm00005210,Sibutramine
CIDm00005235,Sodium Fluoride
CIDm00005241,Ipodate
CIDm00005251,Sorbic Acid
CIDm00005253,Sotalol
CIDm00005266,Spiramycin
CIDm00005267,Spironolactone
CIDm00005277,Stanozolol
CIDm00005291,Imatinib
CIDm00005297,Streptomycin
CIDm00005314,Suxamethonium
CIDm00005316,Sulbactam
CIDm00005317,Sulbenicillin
CIDm00005318,Sulconazole
CIDm00005319,Sulfabenzamide
CIDm00005324,Sulfaguanidine
CIDm00005352,Sulindac
CIDm00005355,Sulpiride
CIDm00005356,Sulthiame
CIDm00005358,Sumatriptan
CIDm00005359,Suprofen
CIDm00005366,Dalfopristin
CIDm00005372,Tacrolimus
