chemical,Drug
CIDs00002771,Citalopram
CIDs00003386,fluoxetine
CIDs00043815,paroxetine
CIDs00146570,Escitalopram
CIDs09966051,vortioxetine
CIDs53325928,Citalopram
CIDm00002771,Citalopram
CIDm00003386,fluoxetine
CIDm00003404,fluvoxamine
CIDm00004691,paroxetine
CIDm00005203,sertraline
CIDm09966051,vortioxetine
