Drug,Blood,Card,Cong,Ear,Endo,Eye,Gastr,Hepat,Immun,Infec,Metab,Musc,Neopl,Nerv,Preg,Prod,Psych,Renal,Repro,Resp,Skin,Vasc
Acamprosate,0.1440179273515967,1.8722330555707571,0.1440179273515967,0.5760717094063869,0.2880358547031934,1.008125491461177,11.233398333424544,1.8722330555707571,0.7200896367579837,1.8722330555707571,1.5841972008675638,3.7444661111415143,0.7200896367579837,9.793219059908576,0.2880358547031934,0.1440179273515967,13.393667243698497,1.1521434188127735,1.2961613461643706,3.3124123290867247,14.113756880456478,1.4401792735159673
Acarbose,0.8665811639918195,6.066068147942737,0.0,0.8665811639918195,1.733162327983639,4.332905819959097,168.11674581441298,10.398973967901831,1.733162327983639,4.332905819959097,10.398973967901831,6.066068147942737,0.0,12.998717459877293,0.8665811639918195,0.0,6.932649311934556,3.466324655967278,1.733162327983639,5.199486983950917,31.196921903705505,1.733162327983639
Acebutolol,17.98965594783,116.93276366089498,4.4974139869575,40.47672588261749,0.0,323.81380706093995,296.82932313919497,4.4974139869575,13.492241960872498,121.43017764785247,35.97931189566,94.44569372610748,0.0,260.850011243535,0.0,0.0,143.91724758264,13.492241960872498,53.96896784348999,98.94310771306498,733.0784798740724,98.94310771306498
Aceclofenac,17.725782150137373,13.294336612603033,0.0,17.725782150137373,0.0,62.04023752548082,389.96720730302224,17.725782150137373,22.15722768767172,4.431445537534343,13.294336612603033,8.862891075068687,0.0,168.39493042630505,0.0,0.0,84.19746521315253,35.45156430027475,22.15722768767172,79.76601967561818,270.318177789595,26.588673225206065
Acetazolamide,5.403703213712736,4.472030245831229,2.608684310068217,6.335376181594242,0.1863345935763012,13.60242533106999,23.478158790613957,1.677011342186711,1.3043421550341086,1.677011342186711,14.534098298951497,7.826052930204652,0.5590037807289037,54.03703213712736,0.7453383743052049,1.3043421550341086,20.12413610624053,18.26079017047752,1.863345935763012,8.757725898086157,16.39744423471451,2.9813534972208195
Acetic Acid,1.452976240206032,1.452976240206032,0.0,63.20446644896239,0.363244060051508,11.260565861596747,11.623809921648256,0.0,2.905952480412064,3.63244060051508,0.726488120103016,2.179464360309048,0.363244060051508,26.153572323708573,0.0,1.452976240206032,3.63244060051508,0.363244060051508,0.726488120103016,5.44866090077262,39.23035848556287,0.363244060051508
Acetylcysteine,3.6789174618145086,16.38790505717372,1.0033411259494114,1.672235209915686,0.0,14.381222805274898,49.83260925548744,4.68225858776392,53.51152671730195,3.6789174618145086,7.02338788164588,4.68225858776392,0.3344470419831372,23.076845896836467,0.3344470419831372,1.0033411259494114,5.016705629747057,20.401269560971368,0.0,55.18376192721763,111.37086498038468,24.414634064769015
Acipimox,0.0,164.17665407978984,0.0,32.83533081595797,0.0,98.50599244787392,344.7709735675587,0.0,65.67066163191593,0.0,49.25299622393696,114.92365785585288,0.0,508.94762764734855,0.0,0.0,114.92365785585288,32.83533081595797,32.83533081595797,147.75898867181087,886.5539320308651,279.1003119356427
Acitretin,57.23825423324588,31.004054376341525,14.30956355831147,40.54376341521584,14.30956355831147,195.56403529692344,252.80228953016933,90.627235869306,4.769854519437157,71.54781779155736,42.928690674934415,228.95301693298356,52.468399713808736,186.02432625804917,9.539709038874314,2.3849272597185784,116.86143572621036,83.47245409015025,69.16289053183877,104.93679942761749,479.3703792034343,33.3889816360601
Aclidinium,0.5344278415528335,24.04925286987751,0.0,0.0,0.0,19.77383013745484,115.97084161696488,0.0,1.6032835246585004,13.36069603882084,3.206567049317001,20.842685820560508,0.5344278415528335,74.28546997584387,0.0,20.842685820560508,18.704974454349173,11.757412514162338,1.6032835246585004,109.02327967677805,47.564077898202186,1.068855683105667
