SOC_Target,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,AUPRC_Mean,AUPRC_Std
Neopl,0.4805194805194805,0.0808029270671522,0.45758201568120754,0.0625039905406715,0.4939005692700539,0.08335486768105399
Repro,0.46789473684210525,0.09043446993155074,0.43713250321871994,0.0963361939085754,0.45207955539692746,0.10849986729685833
Psych,0.5238095238095238,0.14427994086560283,0.40170302565651406,0.05002606329181512,0.43082508578861944,0.11215151782715657
Endo,0.5076923076923077,0.10218007644930399,0.3827470514456244,0.06046314603106479,0.37115305131391246,0.06854935636498971
Blood,0.4445652173913043,0.10450622036279927,0.37092904112344877,0.10514316506786209,0.39225555539574236,0.11039660948249384
Card,0.41476923076923083,0.07190789638231797,0.35318388257496053,0.05858692819872623,0.33830068946489045,0.0809061994587283
Metab,0.47777777777777786,0.10304020550550781,0.34857523428952,0.08658791611203961,0.38243338005593314,0.09776677976172164
Resp,0.5177489177489176,0.0916113874729787,0.3402413680043762,0.03556909055516071,0.4191491385076212,0.03300309022477533
Cong,0.43809523809523815,0.062105900340811905,0.3244997123380148,0.03176177451678914,0.3915666005510175,0.08511914920549822
Skin,0.6039525691699604,0.1252758676888713,0.3202655768808549,0.056962234977583605,0.32576444879782746,0.03450990732627828
Infec,0.4,0.06859943405700353,0.3169208569208569,0.04856009107208235,0.29098899328964156,0.024212477058620435
Preg,0.36593406593406597,0.15647672537430826,0.3094624116513172,0.07681219075809174,0.36345958659503586,0.1352958195288398
Musc,0.34909090909090906,0.10051109062607456,0.27918448107324634,0.03927047462950814,0.23573670645523404,0.045852684934134684
Hepat,0.3674603174603175,0.10903964759108316,0.274867733839462,0.06544805681793928,0.2746373044425274,0.06927996138743005
Renal,0.4134387351778656,0.07844032604841687,0.26250215389835724,0.057671527870703045,0.19942370068960497,0.04858234654266456
Gastr,0.45494505494505494,0.07005440637586471,0.2589330068838266,0.0423467127146052,0.2582427352424724,0.0941932437771881
Vasc,0.3655797101449275,0.06937625301392132,0.2556596099978453,0.051951523250326564,0.233741426508192,0.04085164179996001
Eye,0.39210526315789473,0.11232866300217394,0.24621131209940125,0.06672910389625224,0.20592474063359564,0.05023787016597194
Immun,0.39090909090909093,0.14545454545454545,0.24451105371821483,0.0848455862445829,0.22663821562411285,0.07070795674237765
Prod,0.31666666666666665,0.1687165604728172,0.22957956718609615,0.11727440674174677,0.26488700623397876,0.10436802002778574
Nerv,0.3230769230769231,0.07281780421109194,0.2149437927663734,0.025557866610760576,0.27321156538577795,0.08874105196607988
Ear,0.1742857142857143,0.11537575406405952,0.1351582189273678,0.07281476528370301,0.15624133302421075,0.0358102242359884
