SOC_Target,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,AUPRC_Mean,AUPRC_Std,MLP_Recall_Mean,MLP_Recall_Std,MLP_F1_Mean,MLP_F1_Std,MLP_AUPRC_Mean,MLP_AUPRC_Std,F1_Difference (MLP - XGB)
Neopl,0.4805194805194805,0.0808029270671522,0.4575820156812075,0.0625039905406715,0.4939005692700539,0.0833548676810539,0.5363636363636364,0.2065048505328723,0.4775749256135959,0.0993417875096993,0.5152208493713235,0.0525516503606193,0.019992909932388392
Repro,0.4678947368421052,0.0904344699315507,0.4371325032187199,0.0963361939085754,0.4520795553969274,0.1084998672968583,0.4889473684210526,0.0947573077309663,0.4492447208694348,0.0458433445332413,0.4752918820896065,0.1111078112869004,0.012112217650714907
Psych,0.5238095238095238,0.1442799408656028,0.401703025656514,0.0500260632918151,0.4308250857886194,0.1121515178271565,0.4212121212121212,0.1101950581661879,0.3854846602672689,0.0766090242320051,0.388436800168992,0.0742939179129625,-0.016218365389245093
Endo,0.5076923076923077,0.1021800764493039,0.3827470514456244,0.0604631460310647,0.3711530513139124,0.0685493563649897,0.3483516483516484,0.0330767405347086,0.2941883116883116,0.0162537971656719,0.2629654711726308,0.0374358587432736,-0.08855873975731277
Blood,0.4445652173913043,0.1045062203627992,0.3709290411234487,0.105143165067862,0.3922555553957423,0.1103966094824938,0.3590579710144927,0.0929289556610427,0.3622320168236683,0.0853421816441104,0.3712037927701025,0.1024707253512497,-0.00869702429978042
Card,0.4147692307692308,0.0719078963823179,0.3531838825749605,0.0585869281987262,0.3383006894648904,0.0809061994587283,0.3279999999999999,0.0933652241937939,0.2977010704389564,0.0621738862401262,0.3012912953669448,0.0389223875579773,-0.05548281213600409
Metab,0.4777777777777778,0.1030402055055078,0.34857523428952,0.0865879161120396,0.3824333800559331,0.0977667797617216,0.4666666666666666,0.143156652519168,0.3865013744055151,0.0910265616021309,0.4080615121906848,0.0948439919094768,0.0379261401159951
Resp,0.5177489177489176,0.0916113874729787,0.3402413680043762,0.0355690905551607,0.4191491385076212,0.0330030902247753,0.3484848484848484,0.0303030303030303,0.3117560217560218,0.0201597691879726,0.341099731982654,0.0115536993109569,-0.028485346248354415
Cong,0.4380952380952381,0.0621059003408119,0.3244997123380148,0.0317617745167891,0.3915666005510175,0.0851191492054982,0.3119047619047619,0.0826708359712263,0.2725112450854231,0.0388522462503838,0.2890434351397731,0.054540932289491,-0.05198846725259165
Skin,0.6039525691699604,0.1252758676888713,0.3202655768808549,0.0569622349775836,0.3257644487978274,0.0345099073262782,0.4118577075098814,0.0623654795994182,0.3061009475657362,0.0441593332363093,0.3484242081181106,0.0869454509655207,-0.014164629315118693
Infec,0.4,0.0685994340570035,0.3169208569208569,0.0485600910720823,0.2909889932896415,0.0242124770586204,0.4,0.1459961605410689,0.3458333333333333,0.0641378108226365,0.3388270554185899,0.0507461858234296,0.028912476412476407
Preg,0.3659340659340659,0.1564767253743082,0.3094624116513172,0.0768121907580917,0.3634595865950358,0.1352958195288398,0.3626373626373625,0.1016112198291589,0.2971722026221606,0.059920478296366,0.2805938921686386,0.083436595541802,-0.012290209029156618
Musc,0.349090909090909,0.1005110906260745,0.2791844810732463,0.0392704746295081,0.235736706455234,0.0458526849341346,0.3854545454545454,0.1282559424621701,0.3585667066216265,0.1261972673336306,0.3252968570684503,0.1315113017728577,0.0793822255483802
Hepat,0.3674603174603175,0.1090396475910831,0.274867733839462,0.0654480568179392,0.2746373044425274,0.06927996138743,0.2645502645502645,0.0257036143946902,0.2614360847105826,0.0378010914815385,0.2498692417874281,0.0431408869880059,-0.013431649128879397
Renal,0.4134387351778656,0.0784403260484168,0.2625021538983572,0.057671527870703,0.1994237006896049,0.0485823465426645,0.183794466403162,0.0922059077075642,0.1921935461802571,0.0881623056717728,0.166148624735843,0.0515188147590497,-0.07030860771810007
Gastr,0.4549450549450549,0.0700544063758647,0.2589330068838266,0.0423467127146052,0.2582427352424724,0.0941932437771881,0.2725274725274725,0.1034135415913722,0.2277229597414611,0.0447818893871922,0.2051563192987403,0.0742511124851432,-0.0312100471423655
Vasc,0.3655797101449275,0.0693762530139213,0.2556596099978453,0.0519515232503265,0.233741426508192,0.04085164179996,0.3326086956521739,0.1585309515264841,0.2916110117272908,0.1157612183301209,0.278559997642901,0.099461557591815,0.0359514017294455
Eye,0.3921052631578947,0.1123286630021739,0.2462113120994012,0.0667291038962522,0.2059247406335956,0.0502378701659719,0.2205263157894736,0.0917723306057983,0.1786162773396816,0.0759055577334868,0.2083376966909787,0.0520349471590721,-0.06759503475971959
Immun,0.3909090909090909,0.1454545454545454,0.2445110537182148,0.0848455862445829,0.2266382156241128,0.0707079567423776,0.3727272727272727,0.1448852495500839,0.3266033426913174,0.1152778487976332,0.2898178361419721,0.0907290232958064,0.08209228897310261
Prod,0.3166666666666666,0.1687165604728172,0.2295795671860961,0.1172744067417467,0.2648870062339787,0.1043680200277857,0.2583333333333333,0.0872416821886826,0.2197654197654197,0.0569755331855658,0.2174865289183716,0.0530128849491083,-0.009814147420676406
Nerv,0.3230769230769231,0.0728178042110919,0.2149437927663734,0.0255578666107605,0.2732115653857779,0.0887410519660798,0.2756410256410256,0.1916655947144366,0.197109420998003,0.1065299135788284,0.2311922217494491,0.1117726642974929,-0.01783437176837041
Ear,0.1742857142857143,0.1153757540640595,0.1351582189273678,0.072814765283703,0.1562413330242107,0.0358102242359884,0.2847619047619047,0.1009883134614214,0.2233136617428342,0.0631337416252445,0.1758285279348203,0.0408720391003997,0.08815544281546642
