Drug,SOC_ABBREV,ROR,PRR,CI_lower,CI_upper,event_count,signal_detected
"2,2'-Dithiobis(Benzothiazole)",Skin,inf,6.997065275735723,,inf,1.0,False
"2,3-Dibromo-2-Methylpentanedinitrile",Skin,inf,6.997065275735723,,inf,1.0,False
2-Mercaptobenzothiazole,Skin,inf,6.997065275735723,,inf,1.0,False
Abacavir,Blood,0.9288203176491675,0.9307818454300254,0.7271606285782106,1.1864052433156602,66.0,False
Abacavir,Card,1.3829590168424561,1.3644106886780614,1.1474529085940113,1.6668009884687611,116.0,False
Abacavir,Cong,3.8203397601402918,3.7626376105591333,2.877456884297145,5.072185777155021,49.0,True
Abacavir,Ear,0.3557039943997068,0.3575871142490605,0.16936739427198258,0.7470465739628905,7.0,False
Abacavir,Endo,1.2883380235758761,1.2870137153256318,0.7122320706044719,2.3304410619739557,11.0,False
Abacavir,Eye,0.6819741533932587,0.6888790987058059,0.5180612601202921,0.8977485515679361,52.0,False
Abacavir,Gastr,0.8301357818299324,0.8533990233997786,0.7388129090728952,0.932746853515523,328.0,False
Abacavir,Hepat,3.073936922837569,2.972621423893103,2.5520456352290193,3.7025545606029677,117.0,True
Abacavir,Immun,2.550663115432242,2.479442680067922,2.106018257870656,3.089186099936498,110.0,True
Abacavir,Infec,1.0510119100637962,1.0483494930458528,0.8777350811120934,1.2584959389983412,125.0,False
Abacavir,Metab,0.9412424074374113,0.9427880142563855,0.7327704762953503,1.209024241857539,63.0,False
Abacavir,Musc,0.9120646731803915,0.9163604699394288,0.7573521112936152,1.0983820546070318,117.0,False
Abacavir,Neopl,1.266672754406654,1.2623302753161074,0.9228916110903774,1.7385138703996925,39.0,False
Abacavir,Nerv,0.7976490018344535,0.8233336379272829,0.7071971096840041,0.8996698677286621,304.0,False
Abacavir,Preg,2.6127357882895743,2.5770468543524774,1.9893267030739237,3.431506895705443,53.0,True
Abacavir,Prod,1.4191434657254536,1.4140682421321185,0.9837427182978383,2.047250911087813,29.0,False
Abacavir,Psych,0.9427012321451869,0.9480124331739,0.8210473845368648,1.0823804202108773,222.0,False
Abacavir,Renal,1.1811821900005322,1.1763405782426892,0.9212994574504263,1.5143733719712151,64.0,False
Abacavir,Repro,0.49679126390777023,0.5016237486385099,0.3294422658374424,0.749149655305187,23.0,False
Abacavir,Resp,0.9186839344884226,0.9231996074374997,0.771226773943678,1.0943346367131743,133.0,False
Abacavir,Skin,0.904801314250566,0.9172824780607215,0.803517731918265,1.0188517138447262,314.0,False
Abacavir,Vasc,0.6667064487319475,0.6740820471524933,0.5077560580973078,0.8754154316669526,53.0,False
Abatacept,Blood,0.3823541687206284,0.3894769377798633,0.18148820737806726,0.805532835714759,7.0,False
Abatacept,Card,1.1181175009995865,1.1134472867920244,0.7433070342726082,1.681925083979568,24.0,False
Abatacept,Ear,1.2122887192505496,1.210190313458946,0.5423933626463959,2.7095536930090476,6.0,False
Abatacept,Eye,0.7256364909839952,0.7319644796598175,0.4271008578938964,1.2328430330111273,14.0,False
Abatacept,Gastr,0.660042840335342,0.6981270031972806,0.5128833136149005,0.8494262525472986,68.0,False
Abatacept,Hepat,0.19741454338701722,0.2000589765224801,0.04925702437480568,0.7912069889596988,2.0,False
Abatacept,Immun,1.1578908705788638,1.15450935275757,0.6683104472528878,2.0061204694329065,13.0,False
Abatacept,Infec,5.206052298968053,4.30525032390076,4.287980391988638,6.320686678098586,130.0,True
Abatacept,Metab,0.2893402316976976,0.2951941012883261,0.11998880991078374,0.6977131429266172,5.0,False
Abatacept,Musc,1.8053154354608505,1.7310194480048247,1.3713201335461234,2.376661540792277,56.0,False
Abatacept,Neopl,3.840883494406818,3.705157594344549,2.6446852153138396,5.578125491905126,29.0,True
Abatacept,Nerv,0.9058015924995311,0.9191476601190374,0.7210174919825398,1.1379426076317094,86.0,False
Abatacept,Preg,0.5724721835682219,0.5745851711288402,0.18409796208176513,1.7801631112777487,3.0,False
Abatacept,Prod,2.7335247525289152,2.6935423035414283,1.6087128903262815,4.644804935436773,14.0,True
Abatacept,Psych,0.28195392218100607,0.3032468865973848,0.17639784590699345,0.4506745182997785,18.0,False
Abatacept,Renal,1.3145965496515752,1.3052674921660257,0.8223990992915596,2.101369140414333,18.0,False
Abatacept,Repro,0.2545554423094434,0.2582396822980293,0.08186468640627782,0.7915314411365935,3.0,False
Abatacept,Resp,1.2813503631681742,1.2600289188424147,0.9486328821585254,1.7307630634258806,46.0,False
Abatacept,Skin,0.48012241192153166,0.5186635840196059,0.35437924875426213,0.6504825867758333,45.0,False
Abatacept,Vasc,1.0041166759231694,1.003981035859803,0.6429930003256198,1.5680579700811745,20.0,False
Abciximab,Blood,11.82481635793508,8.957702836103627,9.385450551146313,14.898196004219637,98.0,True
Abciximab,Card,4.050433962496809,3.6547019889837093,2.9906525475995402,5.485764402058662,48.0,True
Abciximab,Eye,0.08328879496385076,0.08576639281529981,0.011700676079165988,0.5928737211076466,1.0,False
Abciximab,Gastr,0.855574468453719,0.8758721107250883,0.6381465046850853,1.1470840405701155,52.0,False
Abciximab,Hepat,0.16184922192565215,0.1641144942988261,0.02273682707956113,1.15210317368718,1.0,False
Abciximab,Immun,0.7246895862884998,0.7284099972846011,0.2998168078503927,1.7516529518153532,5.0,False
Abciximab,Infec,0.05171402814383205,0.054276963202902775,0.007264986417896514,0.3681136554189699,1.0,False
Abciximab,Metab,0.5742962874643291,0.5811995909108535,0.2563065950266179,1.2868035087472462,6.0,False
Abciximab,Musc,0.4932810312326452,0.5069761384966278,0.2631430811570475,0.9246915203091408,10.0,False
Abciximab,Nerv,0.573291488973079,0.6136558075837337,0.4047215533568528,0.8120722225020216,35.0,False
Abciximab,Prod,0.9460488075835901,0.9464862496842638,0.30368438560925387,2.9471661657373662,3.0,False
Abciximab,Renal,0.9505589349695123,0.9516279309701715,0.47173567016915036,1.915399546797856,8.0,False
Abciximab,Resp,1.788703988096491,1.7077019568865812,1.2786333578667857,2.5022512805157295,38.0,False
Abciximab,Skin,0.41593930100416293,0.45382431931740647,0.27500715291446054,0.629094553673824,24.0,False
Abciximab,Vasc,3.5735251749792396,3.2953062371436466,2.5736560685731633,4.961844875912324,40.0,True
Abemaciclib,Blood,2.5581482529749375,2.4453875241412253,1.882126414003709,3.4769834988277406,44.0,True
