Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541813,CHEMBL3790067,Cmax,8.475,nM,CHEMBL3784923
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541814,CHEMBL3790066,Cmax,8.656,nM,CHEMBL3784923
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541815,CHEMBL3790065,Cmax,13.34,nM,CHEMBL3784923
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541816,CHEMBL3790064,Cmax,60.95,nM,CHEMBL3784923
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541844,CHEMBL3787901,Cmax,233.71,nM,CHEMBL3785090
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541847,CHEMBL3787904,Cmax,37.87,nM,CHEMBL3785090
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541851,CHEMBL3788137,Cmax,85.12,nM,CHEMBL3785090
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541855,CHEMBL3788141,Cmax,68.89,nM,CHEMBL3785090
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16545074,CHEMBL3790524,Cmax,162.3,nM,CHEMBL3784927
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16545087,CHEMBL3790215,Cmax,180.0,nM,CHEMBL3784927
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16545090,CHEMBL3790222,Cmax,180.0,nM,CHEMBL3784927
AZATHIOPRINE,CHEMBL1542,CHEMBL612558,ADMET,16545095,CHEMBL3790217,Cmax,2250.0,nM,CHEMBL3784927
AZATHIOPRINE,CHEMBL1542,CHEMBL613424,Plasma,16545102,CHEMBL3790208,Cmax,1660.0,nM,CHEMBL3784927
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16545109,CHEMBL3790200,Cmax,3140.0,nM,CHEMBL3784927
AZITHROMYCIN,CHEMBL529,CHEMBL372,Homo sapiens,2628570,CHEMBL948855,Cmax,1100.0,nM,CHEMBL1137635
AZITHROMYCIN,CHEMBL529,CHEMBL372,Homo sapiens,2667147,CHEMBL1032829,Cmax,534.05,nM,CHEMBL1151474
AZITHROMYCIN,CHEMBL529,CHEMBL372,Homo sapiens,5159738,CHEMBL1663038,Cmax,1335.11,nM,CHEMBL1649157
AZITHROMYCIN,CHEMBL529,CHEMBL372,Homo sapiens,5161038,CHEMBL1655708,Cmax,534.05,nM,CHEMBL1649161
AZITHROMYCIN,CHEMBL529,CHEMBL612558,ADMET,12067949,CHEMBL2160357,Cmax,4272.36,nM,CHEMBL2157869
AZITHROMYCIN,CHEMBL529,CHEMBL613426,Serum,12067950,CHEMBL2160356,Cmax,1255.01,nM,CHEMBL2157869
AZITHROMYCIN,CHEMBL529,CHEMBL613416,Blood,12067951,CHEMBL2160355,Cmax,2683.58,nM,CHEMBL2157869
AZITHROMYCIN,CHEMBL529,CHEMBL613424,Plasma,12067961,CHEMBL2160354,Cmax,894.53,nM,CHEMBL2157869
AZITHROMYCIN,CHEMBL529,CHEMBL612558,ADMET,20599344,CHEMBL4603059,Cmax,467289.72,nM,CHEMBL4602606
BECLOMETHASONE,CHEMBL1586,CHEMBL372,Homo sapiens,18052111,CHEMBL4011675,Cmax,0.2,nM,CHEMBL4011582
BEDAQUILINE,CHEMBL376488,CHEMBL372,Homo sapiens,3568883,CHEMBL1278505,Cmax,574.6,nM,CHEMBL1275461
BEDAQUILINE,CHEMBL376488,CHEMBL372,Homo sapiens,3568884,CHEMBL1278506,Cmax,2174.54,nM,CHEMBL1275461
BEDAQUILINE,CHEMBL376488,CHEMBL372,Homo sapiens,3568885,CHEMBL1278507,Cmax,9904.23,nM,CHEMBL1275461
BEDAQUILINE,CHEMBL376488,CHEMBL372,Homo sapiens,12086987,CHEMBL2169377,Cmax,126.01,nM,CHEMBL2163329
BEDAQUILINE,CHEMBL376488,CHEMBL372,Homo sapiens,12087006,CHEMBL2169386,Cmax,16201.04,nM,CHEMBL2163329
BEDAQUILINE,CHEMBL376488,CHEMBL612558,ADMET,24733489,CHEMBL5116280,Cmax,1094.47,nM,CHEMBL5113423
BEDAQUILINE,CHEMBL376488,CHEMBL612558,ADMET,24733501,CHEMBL5116286,Cmax,637.24,nM,CHEMBL5113423
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883500,CHEMBL4312624,Cmax,521.72,nM,CHEMBL4311943
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883501,CHEMBL4312625,Cmax,1304.29,nM,CHEMBL4311943
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883502,CHEMBL4312626,Cmax,3652.02,nM,CHEMBL4311943
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883503,CHEMBL4312627,Cmax,4695.45,nM,CHEMBL4311943
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883504,CHEMBL4312628,Cmax,5217.16,nM,CHEMBL4311943
BELZUTIFAN,CHEMBL4585668,CHEMBL612558,ADMET,18883505,CHEMBL4312629,Cmax,7043.17,nM,CHEMBL4311943
