Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
CANDESARTAN,CHEMBL1016,CHEMBL372,Homo sapiens,15469783,CHEMBL3534465,Cmax,491.08,nM,CHEMBL3526037
CANDESARTAN,CHEMBL1016,CHEMBL372,Homo sapiens,15469784,CHEMBL3534466,Cmax,590.52,nM,CHEMBL3526037
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,22482082,CHEMBL4687703,Cmax,0.9,nM,CHEMBL4680278
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,22482084,CHEMBL4687705,Cmax,41.5,nM,CHEMBL4680278
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,22482086,CHEMBL4687707,Cmax,11.1,nM,CHEMBL4680278
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,22482091,CHEMBL4687712,Cmax,4000.0,nM,CHEMBL4680278
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,22482092,CHEMBL4687713,Cmax,1000.0,nM,CHEMBL4680278
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,25609728,CHEMBL5360364,Cmax,2127.39,nM,CHEMBL5357074
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,25609746,CHEMBL5360376,Cmax,2315.01,nM,CHEMBL5357074
CANNABIDIOL,CHEMBL190461,CHEMBL612558,ADMET,25626375,CHEMBL5364326,Cmax,98.1,ng/g,CHEMBL5360639
CARFILZOMIB,CHEMBL451887,CHEMBL372,Homo sapiens,15448812,CHEMBL3533276,Cmax,3833.76,nM,CHEMBL3526139
CARFILZOMIB,CHEMBL451887,CHEMBL372,Homo sapiens,15448813,CHEMBL3533275,Cmax,5149.18,nM,CHEMBL3526139
CARFILZOMIB,CHEMBL451887,CHEMBL612558,ADMET,22473963,CHEMBL4685821,Cmax,38643.18,nM,CHEMBL4680218
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,2626627,CHEMBL1003271,Cmax,10518.32,nM,CHEMBL1137019
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,2626629,CHEMBL1003273,Cmax,5121.97,nM,CHEMBL1137019
CASPOFUNGIN,CHEMBL1630575,CHEMBL375,Mus musculus,3510335,CHEMBL1261307,Cmax,53048.94,nM,CHEMBL1255494
CASPOFUNGIN,CHEMBL1630575,CHEMBL375,Mus musculus,3510336,CHEMBL1261308,Cmax,23780.56,nM,CHEMBL1255494
CASPOFUNGIN,CHEMBL1630575,CHEMBL375,Mus musculus,3510337,CHEMBL1261309,Cmax,16463.46,nM,CHEMBL1255494
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305185,CHEMBL1697242,Cmax,15969.56,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305190,CHEMBL1697247,Cmax,15740.9,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305194,CHEMBL1697251,Cmax,7015.27,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305199,CHEMBL1697256,Cmax,8588.44,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305203,CHEMBL1697260,Cmax,9182.95,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305208,CHEMBL1697265,Cmax,12182.96,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305212,CHEMBL1697269,Cmax,12795.77,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305217,CHEMBL1697274,Cmax,14277.48,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305221,CHEMBL1697278,Cmax,8186.0,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305226,CHEMBL1697283,Cmax,11798.82,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305239,CHEMBL1697427,Cmax,16033.59,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305240,CHEMBL1697436,Cmax,13234.8,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305241,CHEMBL1697444,Cmax,14405.53,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305242,CHEMBL1695417,Cmax,12713.45,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305243,CHEMBL1695426,Cmax,11890.28,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305244,CHEMBL1695435,Cmax,19664.69,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305245,CHEMBL1697428,Cmax,14579.31,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305246,CHEMBL1697437,Cmax,13875.04,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305247,CHEMBL1697445,Cmax,15429.93,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305248,CHEMBL1695418,Cmax,15018.34,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305249,CHEMBL1695427,Cmax,11103.69,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305250,CHEMBL1697428,Cmax,16426.88,nM,CHEMBL1687725
CASPOFUNGIN,CHEMBL1630575,CHEMBL372,Homo sapiens,5305251,CHEMBL1695436,Cmax,19481.77,nM,CHEMBL1687725
AFATINIB,CHEMBL1173655,CHEMBL375,Mus musculus,15107801,CHEMBL3385841,Cmax,130.0,nM,CHEMBL3351667
AFATINIB,CHEMBL1173655,CHEMBL612558,ADMET,19310464,CHEMBL4416159,Cmax,154.75,nM,CHEMBL4414600
ALECTINIB,CHEMBL1738797,CHEMBL613847,Cynomolgus monkey,7997428,CHEMBL1942699,Cmax,115.62,nM,CHEMBL1938232
ALECTINIB,CHEMBL1738797,CHEMBL376,Rattus norvegicus,7997430,CHEMBL1942698,Cmax,125.98,nM,CHEMBL1938232
