Target,Use_SMOTE,Class_Weight,Features,ROC AUC,PR AUC
Nerv,True,"{0: 1, 1: 2}",5916,0.9023910411622277,0.23398827167688632
Nerv,True,"{0: 1, 1: 3}",5916,0.8742433414043583,0.20415243562127194
Preg,False,,5916,0.7801816239316239,0.4139941737944884
Preg,False,balanced,5916,0.7944711538461539,0.4131388932361788
Preg,False,balanced_subsample,5916,0.8314636752136751,0.43733969185694865
Preg,False,"{0: 1, 1: 2}",5916,0.7880608974358975,0.4075371756189739
Preg,False,"{0: 1, 1: 3}",5916,0.7999465811965811,0.42300616949663106
Preg,True,,5916,0.7652243589743589,0.32241215518272226
Preg,True,balanced,5916,0.7652243589743589,0.32241215518272226
Preg,True,balanced_subsample,5916,0.7733707264957265,0.3313571034602364
Preg,True,"{0: 1, 1: 2}",5916,0.7741720085470085,0.3463311805324144
Preg,True,"{0: 1, 1: 3}",5916,0.7474626068376068,0.34462682055601196
Prod,False,,5916,0.6379585326953747,0.15938247960396934
Prod,False,balanced,5916,0.69377990430622,0.13967970522077722
Prod,False,balanced_subsample,5916,0.6908179539758488,0.14623585232493128
Prod,False,"{0: 1, 1: 2}",5916,0.6225791752107542,0.15969462953256433
Prod,False,"{0: 1, 1: 3}",5916,0.645021645021645,0.1693240936910622
Prod,True,,5916,0.5958077010708589,0.11138980956297292
Prod,True,balanced,5916,0.5958077010708589,0.11138980956297292
Prod,True,balanced_subsample,5916,0.6120984278879016,0.11384398667508437
Prod,True,"{0: 1, 1: 2}",5916,0.6208703577124629,0.11578960632907759
Prod,True,"{0: 1, 1: 3}",5916,0.6256550467076782,0.1049471462275581
Psych,False,,5916,0.8736745043798985,0.38555825491503937
Psych,False,balanced,5916,0.8667588750576303,0.30053032692662257
Psych,False,balanced_subsample,5916,0.8755186721991701,0.30975693298308465
Psych,False,"{0: 1, 1: 2}",5916,0.8778238819732596,0.32505514185938844
Psych,False,"{0: 1, 1: 3}",5916,0.8944213923467035,0.30999036276256076
Psych,True,,5916,0.8782849239280774,0.30089198169348785
Psych,True,balanced,5916,0.8782849239280774,0.30089198169348785
Psych,True,balanced_subsample,5916,0.8852005532503457,0.3074479130996846
Psych,True,"{0: 1, 1: 2}",5916,0.8713692946058091,0.32220489880805725
Psych,True,"{0: 1, 1: 3}",5916,0.8764407561088059,0.2920016888850631
Renal,False,,5916,0.6563421828908554,0.19460526190499394
Renal,False,balanced,5916,0.6264749262536873,0.22334544854602656
Renal,False,balanced_subsample,5916,0.6353244837758112,0.2506044830816167
Renal,False,"{0: 1, 1: 2}",5916,0.6314528023598821,0.21859166662399032
Renal,False,"{0: 1, 1: 3}",5916,0.6174410029498525,0.19186814361226442
Renal,True,,5916,0.6495206489675517,0.23309494901237884
Renal,True,balanced,5916,0.6495206489675517,0.23309494901237884
Renal,True,balanced_subsample,5916,0.650811209439528,0.2221182281340069
Renal,True,"{0: 1, 1: 2}",5916,0.6436209439528024,0.23988455060787486
Renal,True,"{0: 1, 1: 3}",5916,0.6480457227138642,0.19143359880896457
Repro,False,,5916,0.7978789769182781,0.4821593451412376
Repro,False,balanced,5916,0.7895612393428987,0.40770097981315867
Repro,False,balanced_subsample,5916,0.7920565606155127,0.44110900564826266
Repro,False,"{0: 1, 1: 2}",5916,0.7974630900395093,0.4391780062236897
Repro,False,"{0: 1, 1: 3}",5916,0.7926803909336662,0.397156548341932
Repro,True,,5916,0.7799958411312122,0.383132902547029
Repro,True,balanced,5916,0.7799958411312122,0.383132902547029
Repro,True,balanced_subsample,5916,0.7899771262216677,0.3978410830747166
Repro,True,"{0: 1, 1: 2}",5916,0.7770846329798294,0.3769974321187704
Repro,True,"{0: 1, 1: 3}",5916,0.7787481804949054,0.37141655426454423
Resp,False,,5916,0.6657448377581121,0.3064954721899234
Resp,False,balanced,5916,0.6496128318584071,0.2363723686484892
Resp,False,balanced_subsample,5916,0.6214048672566372,0.22034771559543384
Resp,False,"{0: 1, 1: 2}",5916,0.6757005899705014,0.2916873104931941
Resp,False,"{0: 1, 1: 3}",5916,0.6614122418879056,0.24300011406647215
Resp,True,,5916,0.6474004424778761,0.2852622028577687
Resp,True,balanced,5916,0.6474004424778761,0.2852622028577687
Resp,True,balanced_subsample,5916,0.6531157817109144,0.2678212631754785
Resp,True,"{0: 1, 1: 2}",5916,0.6670353982300885,0.23559662738924866
Resp,True,"{0: 1, 1: 3}",5916,0.6486910029498525,0.22341811322960123
Skin,False,,5916,0.6602138643067846,0.133535333277123
Skin,False,balanced,5916,0.6928466076696166,0.19711493295954954
Skin,False,balanced_subsample,5916,0.6906342182890856,0.19966284276787677
Skin,False,"{0: 1, 1: 2}",5916,0.6782817109144542,0.15395211276231857
Skin,False,"{0: 1, 1: 3}",5916,0.6963495575221239,0.1739306511237699
Skin,True,,5916,0.7192109144542773,0.17402658759875153
Skin,True,balanced,5916,0.7192109144542773,0.17402658759875153
Skin,True,balanced_subsample,5916,0.6910029498525073,0.16309602301661127
Skin,True,"{0: 1, 1: 2}",5916,0.6867625368731564,0.2207841549890232
Skin,True,"{0: 1, 1: 3}",5916,0.6858407079646018,0.20370148127818244
Vasc,False,,5916,0.7154876373626373,0.19730584961125475
Vasc,False,balanced,5916,0.7228708791208791,0.2634658108170316
Vasc,False,balanced_subsample,5916,0.7287946428571429,0.2516398936400365
Vasc,False,"{0: 1, 1: 2}",5916,0.7228708791208791,0.19750505870487117
Vasc,False,"{0: 1, 1: 3}",5916,0.7366071428571429,0.2195017944263983
Vasc,True,,5916,0.6846668956043955,0.20334380482849057
Vasc,True,balanced,5916,0.6846668956043955,0.20334380482849057
Vasc,True,balanced_subsample,5916,0.6819196428571428,0.19728713943638787
Vasc,True,"{0: 1, 1: 2}",5916,0.6776270604395604,0.23125228117753385
Vasc,True,"{0: 1, 1: 3}",5916,0.6562500000000001,0.21883310530908257
