Target,Use_SMOTE,Class_Weight,Features,ROC AUC,PR AUC
Blood,False,,5916,0.7546359890109889,0.329305206856688
Blood,False,balanced,5916,0.7381524725274725,0.31769427898831637
Blood,False,balanced_subsample,5916,0.7446771978021978,0.3160552952325144
Blood,False,"{0: 1, 1: 2}",5916,0.7402129120879122,0.31098870672958395
Blood,False,"{0: 1, 1: 3}",5916,0.747081043956044,0.29109560731651235
Blood,True,,5916,0.7657967032967032,0.27015841260586865
Blood,True,balanced,5916,0.7657967032967032,0.27015841260586865
Blood,True,balanced_subsample,5916,0.7494848901098902,0.2741102558837998
Blood,True,"{0: 1, 1: 2}",5916,0.7740384615384616,0.31984961580142346
Blood,True,"{0: 1, 1: 3}",5916,0.7687156593406593,0.32867906725132173
Card,False,,5916,0.6877575549450549,0.33330422138257365
Card,False,balanced,5916,0.6986607142857142,0.3465283496873831
Card,False,balanced_subsample,5916,0.7070741758241758,0.3560019457281326
Card,False,"{0: 1, 1: 2}",5916,0.7085336538461539,0.36779324018257187
Card,False,"{0: 1, 1: 3}",5916,0.6887877747252747,0.38898163740163993
Card,True,,5916,0.6978880494505495,0.3209230215852476
Card,True,balanced,5916,0.6978880494505495,0.3209230215852476
Card,True,balanced_subsample,5916,0.7062156593406593,0.3757820435785425
Card,True,"{0: 1, 1: 2}",5916,0.7030391483516483,0.35910104155091194
Card,True,"{0: 1, 1: 3}",5916,0.7041552197802198,0.36318719224656826
Cong,False,,5916,0.6195033037138301,0.12383784473383753
Cong,False,balanced,5916,0.6173388015493279,0.12134871856389241
Cong,False,balanced_subsample,5916,0.6089086352244246,0.11436588087272084
Cong,False,"{0: 1, 1: 2}",5916,0.6207564365459103,0.11685783924043466
Cong,False,"{0: 1, 1: 3}",5916,0.615060378218273,0.11787845563353919
Cong,True,,5916,0.6179084073820915,0.15048454046847903
Cong,True,balanced,5916,0.6179084073820915,0.15048454046847903
Cong,True,balanced_subsample,5916,0.6183640920483027,0.1709569635445176
Cong,True,"{0: 1, 1: 2}",5916,0.6359079516974254,0.15617782344450806
Cong,True,"{0: 1, 1: 3}",5916,0.6485532011847801,0.16986241156397575
Ear,False,,5916,0.5859988507948669,0.16620548706439303
Ear,False,balanced,5916,0.5386899061482474,0.09692078563602995
Ear,False,balanced_subsample,5916,0.5130243248419843,0.09038790033706365
Ear,False,"{0: 1, 1: 2}",5916,0.5982570388814403,0.16948774249535653
Ear,False,"{0: 1, 1: 3}",5916,0.5777628806742005,0.15294402084041575
Ear,True,,5916,0.5896380003830684,0.1143541951818397
Ear,True,balanced,5916,0.5896380003830684,0.1143541951818397
Ear,True,balanced_subsample,5916,0.6125263359509673,0.12493706582248242
Ear,True,"{0: 1, 1: 2}",5916,0.5555449147672861,0.10259424242525017
Ear,True,"{0: 1, 1: 3}",5916,0.4798889101704654,0.08837093314443173
Endo,False,,5916,0.7770764958343853,0.19776067366846573
Endo,False,balanced,5916,0.7854077253218884,0.21972450903295335
Endo,False,balanced_subsample,5916,0.785155263822267,0.23239416271224478
Endo,False,"{0: 1, 1: 2}",5916,0.766220651350669,0.1965321802694857
Endo,False,"{0: 1, 1: 3}",5916,0.7950012623074981,0.2071233057597717
Endo,True,,5916,0.772027265841959,0.2701642934725303
Endo,True,balanced,5916,0.772027265841959,0.2701642934725303
Endo,True,balanced_subsample,5916,0.7679878818480181,0.24823007218261278
Endo,True,"{0: 1, 1: 2}",5916,0.7801060338298409,0.2910310747498056
Endo,True,"{0: 1, 1: 3}",5916,0.7836404948245393,0.2986806124814144
Eye,False,,5916,0.6124401913875598,0.12907550559340666
Eye,False,balanced,5916,0.6609706083390294,0.1535776077736395
Eye,False,balanced_subsample,5916,0.6737297789929368,0.1493358503709758
Eye,False,"{0: 1, 1: 2}",5916,0.6122123490544543,0.13340505048581508
Eye,False,"{0: 1, 1: 3}",5916,0.620414673046252,0.12965876224312212
Eye,True,,5916,0.645477329687856,0.12546631739648906
Eye,True,balanced,5916,0.645477329687856,0.12546631739648906
Eye,True,balanced_subsample,5916,0.6520847573479153,0.1224646052393917
Eye,True,"{0: 1, 1: 2}",5916,0.660742766005924,0.12491027723183369
Eye,True,"{0: 1, 1: 3}",5916,0.6730462519936204,0.12940719917328772
Gastr,False,,5916,0.6739130434782609,0.1625821099406545
Gastr,False,balanced,5916,0.6958695652173914,0.14161519463690184
Gastr,False,balanced_subsample,5916,0.6973913043478261,0.14814431908467568
Gastr,False,"{0: 1, 1: 2}",5916,0.6668478260869566,0.16232443502099064
Gastr,False,"{0: 1, 1: 3}",5916,0.691304347826087,0.17255582734952155
Gastr,True,,5916,0.6929347826086956,0.12026112245858134
Gastr,True,balanced,5916,0.6929347826086956,0.12026112245858134
Gastr,True,balanced_subsample,5916,0.6975000000000001,0.11908858120656597
Gastr,True,"{0: 1, 1: 2}",5916,0.7110869565217393,0.12629051336218067
Gastr,True,"{0: 1, 1: 3}",5916,0.7142391304347826,0.1276978897600013
Hepat,False,,5916,0.5862121212121212,0.14555858367169802
Hepat,False,balanced,5916,0.6550757575757575,0.210891906133694
Hepat,False,balanced_subsample,5916,0.6439393939393939,0.2020058224920312
Hepat,False,"{0: 1, 1: 2}",5916,0.6172727272727272,0.15810015485970835
Hepat,False,"{0: 1, 1: 3}",5916,0.6328030303030303,0.16832055894677553
Hepat,True,,5916,0.6020454545454544,0.18613615288163943
Hepat,True,balanced,5916,0.6020454545454544,0.18613615288163943
Hepat,True,balanced_subsample,5916,0.6093181818181819,0.19484721209211803
Hepat,True,"{0: 1, 1: 2}",5916,0.6356060606060605,0.23769687478949234
Hepat,True,"{0: 1, 1: 3}",5916,0.6437878787878788,0.22373068872261379
Immun,False,,5916,0.539865813699485,0.16623746761540908
Immun,False,balanced,5916,0.6326259946949602,0.17355799700514976
Immun,False,balanced_subsample,5916,0.6245904197222656,0.15554279349159297
Immun,False,"{0: 1, 1: 2}",5916,0.5531284131689811,0.14599931366122712
Immun,False,"{0: 1, 1: 3}",5916,0.5774691839600561,0.14997160334805273
Immun,True,,5916,0.5579653612107973,0.14485600617188338
Immun,True,balanced,5916,0.5579653612107973,0.14485600617188338
Immun,True,balanced_subsample,5916,0.5383055078795443,0.13507697874787053
Immun,True,"{0: 1, 1: 2}",5916,0.5812919332189109,0.14712771192486837
Immun,True,"{0: 1, 1: 3}",5916,0.5936963644874395,0.14485982270856607
Infec,False,,5916,0.7454501915708812,0.1496736329308218
Infec,False,balanced,5916,0.805316091954023,0.1889468890140193
Infec,False,balanced_subsample,5916,0.8078304597701149,0.1935113142521037
Infec,False,"{0: 1, 1: 2}",5916,0.764367816091954,0.1649469953087058
Infec,False,"{0: 1, 1: 3}",5916,0.7488026819923372,0.16011340464689994
Infec,True,,5916,0.730124521072797,0.17232666164899535
Infec,True,balanced,5916,0.730124521072797,0.17232666164899535
Infec,True,balanced_subsample,5916,0.7473659003831418,0.16834194163924035
Infec,True,"{0: 1, 1: 2}",5916,0.7655651340996168,0.1922743900678072
Infec,True,"{0: 1, 1: 3}",5916,0.8204022988505746,0.22789419400669486
Metab,False,,5916,0.7953836556456644,0.2944701430035583
Metab,False,balanced,5916,0.8085880640465792,0.41129479209342124
Metab,False,balanced_subsample,5916,0.8044291952588896,0.37121732663658835
Metab,False,"{0: 1, 1: 2}",5916,0.7998544395924309,0.34054471463078667
Metab,False,"{0: 1, 1: 3}",5916,0.794759825327511,0.3208658740950163
Metab,True,,5916,0.805468912455812,0.3286888744967875
Metab,True,balanced,5916,0.805468912455812,0.3286888744967875
Metab,True,balanced_subsample,5916,0.7987107506758161,0.30461369314227915
Metab,True,"{0: 1, 1: 2}",5916,0.8123310459555001,0.3292800579793468
Metab,True,"{0: 1, 1: 3}",5916,0.7855063422749012,0.3304309611539924
Musc,False,,5916,0.6572153065929,0.0834561753802427
Musc,False,balanced,5916,0.603273397879207,0.07319647293992648
Musc,False,balanced_subsample,5916,0.5590133702166897,0.05613619694155092
Musc,False,"{0: 1, 1: 2}",5916,0.6258644536652835,0.07011428250342377
Musc,False,"{0: 1, 1: 3}",5916,0.5894421392346703,0.06155792793354413
Musc,True,,5916,0.6461502996772706,0.06177875165391021
Musc,True,balanced,5916,0.6461502996772706,0.06177875165391021
Musc,True,balanced_subsample,5916,0.5792992162286767,0.05138846346175519
Musc,True,"{0: 1, 1: 2}",5916,0.6134163208852005,0.05322414683186113
Musc,True,"{0: 1, 1: 3}",5916,0.5917473490087598,0.051406331312420755
Neopl,False,,5916,0.8597972972972973,0.5544481989867577
Neopl,False,balanced,5916,0.8673584298584299,0.5828420934394506
Neopl,False,balanced_subsample,5916,0.8610842985842986,0.5560582803518913
Neopl,False,"{0: 1, 1: 2}",5916,0.8647844272844273,0.5523247092912372
Neopl,False,"{0: 1, 1: 3}",5916,0.8671975546975548,0.5594769596208997
Neopl,True,,5916,0.8551319176319175,0.5314788299260929
Neopl,True,balanced,5916,0.8551319176319175,0.5314788299260929
Neopl,True,balanced_subsample,5916,0.845479407979408,0.5264673412015703
Neopl,True,"{0: 1, 1: 2}",5916,0.863497425997426,0.5439656704940183
Neopl,True,"{0: 1, 1: 3}",5916,0.8668758043758044,0.550002510016338
Nerv,False,,5916,0.8992130750605327,0.3091138301524009
Nerv,False,balanced,5916,0.8719733656174334,0.2464527592949089
Nerv,False,balanced_subsample,5916,0.8746973365617433,0.22474789492580993
Nerv,False,"{0: 1, 1: 2}",5916,0.8995157384987894,0.31429249012689187
Nerv,False,"{0: 1, 1: 3}",5916,0.9010290556900725,0.3630019583056967
Nerv,True,,5916,0.8999697336561743,0.2960291858646192
Nerv,True,balanced,5916,0.8999697336561743,0.2960291858646192
Nerv,True,balanced_subsample,5916,0.9031476997578692,0.2401500839909132
