n_estimators,Target,Features,ROC AUC
90,Eye,5916,0.594440647072226
100,Eye,5916,0.6026429710640235
110,Eye,5916,0.6048074732285259
120,Eye,5916,0.6017316017316018
130,Eye,5916,0.6261107313738893
140,Eye,5916,0.6091364775575302
150,Eye,5916,0.5987696514012304
160,Eye,5916,0.5991114149008885
170,Eye,5916,0.6200729095465938
180,Eye,5916,0.5976304397357028
190,Eye,5916,0.6025290498974709
200,Eye,5916,0.6233766233766234
210,Eye,5916,0.606971975393028
220,Eye,5916,0.6043517885623149
230,Eye,5916,0.6013898382319435
240,Eye,5916,0.5912508544087491
250,Eye,5916,0.6054910002278423
260,Eye,5916,0.6261107313738892
270,Eye,5916,0.6299840510366826
280,Eye,5916,0.6086807928913192
290,Eye,5916,0.6040100250626566
300,Eye,5916,0.6214399635452267
310,Eye,5916,0.6101617680565049
320,Eye,5916,0.6144907723855092
330,Eye,5916,0.6037821827295511
340,Eye,5916,0.611870585554796
350,Eye,5916,0.6288448393711552
360,Eye,5916,0.6205285942128047
370,Eye,5916,0.6008202323991797
380,Eye,5916,0.6131237183868762
390,Eye,5916,0.6140350877192982
400,Eye,5916,0.617680565048986
10,Gastr,5916,0.6768478260869566
20,Gastr,5916,0.6193478260869565
30,Gastr,5916,0.6840217391304347
40,Gastr,5916,0.6705434782608695
50,Gastr,5916,0.6928260869565217
60,Gastr,5916,0.6890217391304349
70,Gastr,5916,0.697391304347826
80,Gastr,5916,0.682391304347826
90,Gastr,5916,0.6303260869565217
100,Gastr,5916,0.6293478260869565
110,Gastr,5916,0.6508695652173913
120,Gastr,5916,0.6791304347826087
130,Gastr,5916,0.6581521739130435
140,Gastr,5916,0.6619565217391303
150,Gastr,5916,0.6671739130434783
160,Gastr,5916,0.685
170,Gastr,5916,0.6867391304347826
180,Gastr,5916,0.6556521739130434
190,Gastr,5916,0.6890217391304347
200,Gastr,5916,0.6694565217391304
210,Gastr,5916,0.6497826086956522
220,Gastr,5916,0.6808695652173913
230,Gastr,5916,0.6791304347826087
240,Gastr,5916,0.6679347826086957
250,Gastr,5916,0.6699999999999999
260,Gastr,5916,0.6589130434782609
270,Gastr,5916,0.6591304347826088
280,Gastr,5916,0.6669565217391304
290,Gastr,5916,0.6789130434782609
300,Gastr,5916,0.6689130434782609
310,Gastr,5916,0.6593478260869565
320,Gastr,5916,0.7020652173913043
330,Gastr,5916,0.698695652173913
340,Gastr,5916,0.7044565217391305
350,Gastr,5916,0.6684782608695652
360,Gastr,5916,0.6845652173913044
370,Gastr,5916,0.6847826086956522
380,Gastr,5916,0.6971739130434782
390,Gastr,5916,0.6823913043478261
400,Gastr,5916,0.662608695652174
10,Hepat,5916,0.5984848484848484
20,Hepat,5916,0.5887121212121212
30,Hepat,5916,0.6500757575757575
40,Hepat,5916,0.6372727272727273
50,Hepat,5916,0.6251515151515151
60,Hepat,5916,0.6740909090909091
70,Hepat,5916,0.645
80,Hepat,5916,0.6474242424242425
90,Hepat,5916,0.6722727272727272
100,Hepat,5916,0.6255303030303031
110,Hepat,5916,0.6696212121212121
120,Hepat,5916,0.6451515151515151
130,Hepat,5916,0.6512121212121211
140,Hepat,5916,0.6159090909090909
150,Hepat,5916,0.6428030303030303
160,Hepat,5916,0.6501515151515151
170,Hepat,5916,0.6690909090909091
180,Hepat,5916,0.625909090909091
190,Hepat,5916,0.6332575757575758
200,Hepat,5916,0.639621212121212
210,Hepat,5916,0.6561363636363636
220,Hepat,5916,0.6594696969696969
230,Hepat,5916,0.6486363636363637
240,Hepat,5916,0.6623484848484849
250,Hepat,5916,0.6387121212121213
260,Hepat,5916,0.643409090909091
270,Hepat,5916,0.656969696969697
280,Hepat,5916,0.655
290,Hepat,5916,0.6510606060606061
300,Hepat,5916,0.6376515151515152
310,Hepat,5916,0.6486363636363636
320,Hepat,5916,0.6396212121212121
330,Hepat,5916,0.6504545454545454
340,Hepat,5916,0.6540909090909092
350,Hepat,5916,0.6331060606060606
360,Hepat,5916,0.6417424242424243
370,Hepat,5916,0.6501515151515153
380,Hepat,5916,0.6506818181818181
390,Hepat,5916,0.6557575757575757
400,Hepat,5916,0.645
10,Immun,5916,0.5204400062412233
20,Immun,5916,0.564128569199563
30,Immun,5916,0.5542986425339367
40,Immun,5916,0.5789514744889999
50,Immun,5916,0.5541426119519426
60,Immun,5916,0.5951786550163832
70,Immun,5916,0.5691995631143705
80,Immun,5916,0.5807458261819317
90,Immun,5916,0.5737244499921985
100,Immun,5916,0.5884693399906381
110,Immun,5916,0.5864409424247152
120,Immun,5916,0.5958027773443595
130,Immun,5916,0.5742705570291777
140,Immun,5916,0.5688875019503823
150,Immun,5916,0.5965829302543298
160,Immun,5916,0.5805897955999375
170,Immun,5916,0.6050865969730067
180,Immun,5916,0.5857388048057419
190,Immun,5916,0.596816976127321
200,Immun,5916,0.5907317834295522
210,Immun,5916,0.5773911686690592
220,Immun,5916,0.563738492744578
230,Immun,5916,0.579107505070994
240,Immun,5916,0.5984552972382587
250,Immun,5916,0.5979872054922766
260,Immun,5916,0.5791855203619909
270,Immun,5916,0.5769230769230769
280,Immun,5916,0.5812139179279139
290,Immun,5916,0.5878452176626618
300,Immun,5916,0.5965049149633328
310,Immun,5916,0.5949446091433921
320,Immun,5916,0.5819940708378842
330,Immun,5916,0.5829302543298487
340,Immun,5916,0.5951786550163833
350,Immun,5916,0.6047745358090185
360,Immun,5916,0.5952566703073803
370,Immun,5916,0.5964268996723358
380,Immun,5916,0.5830862849118428
390,Immun,5916,0.5915899516305196
400,Immun,5916,0.5883913246996411
10,Infec,5916,0.6282327586206897
20,Infec,5916,0.7744252873563218
30,Infec,5916,0.7996886973180076
40,Infec,5916,0.8157327586206896
50,Infec,5916,0.7696360153256706
60,Infec,5916,0.7255747126436781
70,Infec,5916,0.8067528735632183
80,Infec,5916,0.7849616858237548
90,Infec,5916,0.8127394636015325
100,Infec,5916,0.7533524904214559
110,Infec,5916,0.7847222222222222
120,Infec,5916,0.7787356321839081
130,Infec,5916,0.7801724137931034
140,Infec,5916,0.8165708812260536
150,Infec,5916,0.7720306513409961
160,Infec,5916,0.7957375478927203
170,Infec,5916,0.764367816091954
180,Infec,5916,0.760057471264368
190,Infec,5916,0.7825670498084292
200,Infec,5916,0.7800526819923371
210,Infec,5916,0.7751436781609196
220,Infec,5916,0.8089080459770115
230,Infec,5916,0.7883141762452107
240,Infec,5916,0.7966954022988506
250,Infec,5916,0.7777777777777777
260,Infec,5916,0.7692768199233717
270,Infec,5916,0.7456896551724138
280,Infec,5916,0.7879549808429118
290,Infec,5916,0.8029214559386973
300,Infec,5916,0.7583812260536399
310,Infec,5916,0.7811302681992338
320,Infec,5916,0.7813697318007663
330,Infec,5916,0.7739463601532567
340,Infec,5916,0.7822078544061303
350,Infec,5916,0.7794540229885057
360,Infec,5916,0.782088122605364
370,Infec,5916,0.7945402298850575
380,Infec,5916,0.7776580459770115
390,Infec,5916,0.7957375478927203
400,Infec,5916,0.7926245210727969
10,Metab,5916,0.7314410480349344
20,Metab,5916,0.7062798918694115
30,Metab,5916,0.7703264711998338
40,Metab,5916,0.7690788105635268
50,Metab,5916,0.7491162403826159
60,Metab,5916,0.7295695570804742
70,Metab,5916,0.7494281555416927
80,Metab,5916,0.7697026408816802
90,Metab,5916,0.7638802245789145
100,Metab,5916,0.7537949677687669
110,Metab,5916,0.760241214389686
120,Metab,5916,0.7413183614056976
130,Metab,5916,0.7647119983364525
140,Metab,5916,0.7498440424204618
150,Metab,5916,0.7555624870035351
160,Metab,5916,0.7529631940112289
170,Metab,5916,0.7506758161779996
180,Metab,5916,0.7596173840715326
190,Metab,5916,0.763152422541069
200,Metab,5916,0.7535870243293824
210,Metab,5916,0.7949677687668955
220,Metab,5916,0.7674152630484508
230,Metab,5916,0.754314826367228
240,Metab,5916,0.7561863173216885
250,Metab,5916,0.7505718444583075
260,Metab,5916,0.7618007901850696
270,Metab,5916,0.762424620503223
280,Metab,5916,0.759409440632148
290,Metab,5916,0.7523393636930754
300,Metab,5916,0.7419421917238511
310,Metab,5916,0.7579538365564567
320,Metab,5916,0.7527552505718444
330,Metab,5916,0.7561863173216885
340,Metab,5916,0.7421501351632357
350,Metab,5916,0.7530671657309213
360,Metab,5916,0.7611769598669162
370,Metab,5916,0.7562902890413807
380,Metab,5916,0.752131420253691
390,Metab,5916,0.7611769598669162
400,Metab,5916,0.7613849033063007
10,Musc,5916,0.6147994467496543
20,Musc,5916,0.49124020285846015
30,Musc,5916,0.5712309820193638
40,Musc,5916,0.5516366989396035
50,Musc,5916,0.5493314891655141
60,Musc,5916,0.6274781005071463
70,Musc,5916,0.6235592438911941
80,Musc,5916,0.6138773628400185
90,Musc,5916,0.5680036883356385
100,Musc,5916,0.5744582757030889
110,Musc,5916,0.6184877823881973
120,Musc,5916,0.6164130935915169
130,Musc,5916,0.5382664822498847
140,Musc,5916,0.61572153065929
150,Musc,5916,0.5799907791609037
160,Musc,5916,0.5191332411249423
170,Musc,5916,0.6313969571230982
180,Musc,5916,0.6297833102812356
190,Musc,5916,0.6021207929921624
200,Musc,5916,0.6111111111111112
210,Musc,5916,0.5935915168280314
220,Musc,5916,0.6194098662978331
230,Musc,5916,0.5449515905947442
240,Musc,5916,0.5958967266021208
250,Musc,5916,0.6230982019363762
260,Musc,5916,0.594974642692485
270,Musc,5916,0.6307053941908713
280,Musc,5916,0.6048870447210696
290,Musc,5916,0.61572153065929
300,Musc,5916,0.6014292300599354
310,Musc,5916,0.5993545412632549
320,Musc,5916,0.5938220378054403
330,Musc,5916,0.586906408483172
340,Musc,5916,0.6005071461502997
350,Musc,5916,0.5935915168280314
360,Musc,5916,0.586906408483172
370,Musc,5916,0.6498386353158137
380,Musc,5916,0.598893499308437
390,Musc,5916,0.6120331950207468
400,Musc,5916,0.5892116182572614
10,Neopl,5916,0.7960907335907336
20,Neopl,5916,0.7959298584298584
30,Neopl,5916,0.8127413127413128
40,Neopl,5916,0.8212676962676962
50,Neopl,5916,0.8330115830115831
60,Neopl,5916,0.8375160875160875
70,Neopl,5916,0.8347007722007722
80,Neopl,5916,0.8567406692406692
90,Neopl,5916,0.8425836550836551
100,Neopl,5916,0.832609395109395
110,Neopl,5916,0.8486969111969112
120,Neopl,5916,0.846042471042471
130,Neopl,5916,0.8507882882882883
140,Neopl,5916,0.8493404118404119
150,Neopl,5916,0.8306788931788932
160,Neopl,5916,0.8401705276705277
170,Neopl,5916,0.8503056628056628
180,Neopl,5916,0.8390444015444015
190,Neopl,5916,0.844514157014157
200,Neopl,5916,0.8642213642213642
210,Neopl,5916,0.8367117117117117
220,Neopl,5916,0.8441924066924067
230,Neopl,5916,0.8488577863577864
240,Neopl,5916,0.8581885456885457
250,Neopl,5916,0.8499839124839125
260,Neopl,5916,0.8470881595881596
270,Neopl,5916,0.856981981981982
280,Neopl,5916,0.844514157014157
290,Neopl,5916,0.8488577863577864
300,Neopl,5916,0.8501447876447876
310,Neopl,5916,0.846444658944659
320,Neopl,5916,0.8548101673101672
330,Neopl,5916,0.8426640926640926
340,Neopl,5916,0.8412966537966537
350,Neopl,5916,0.8508687258687259
360,Neopl,5916,0.8396074646074647
370,Neopl,5916,0.8496621621621622
380,Neopl,5916,0.8596364221364222
390,Neopl,5916,0.8429054054054055
400,Neopl,5916,0.838963963963964
10,Nerv,5916,0.750453995157385
20,Nerv,5916,0.8312651331719128
30,Nerv,5916,0.835048426150121
40,Nerv,5916,0.8488196125907991
50,Nerv,5916,0.8158292978208234
60,Nerv,5916,0.8681900726392252
70,Nerv,5916,0.8516949152542372
80,Nerv,5916,0.8385290556900726
90,Nerv,5916,0.861682808716707
100,Nerv,5916,0.8370157384987893
110,Nerv,5916,0.8356537530266344
120,Nerv,5916,0.8545702179176755
130,Nerv,5916,0.8840799031476998
140,Nerv,5916,0.8701573849878935
150,Nerv,5916,0.8628934624697336
160,Nerv,5916,0.8535108958837772
170,Nerv,5916,0.847003631961259
180,Nerv,5916,0.8663740920096853
190,Nerv,5916,0.8512409200968523
200,Nerv,5916,0.8445823244552058
210,Nerv,5916,0.8627421307506054
220,Nerv,5916,0.8846852300242131
230,Nerv,5916,0.8719733656174334
240,Nerv,5916,0.8518462469733656
250,Nerv,5916,0.8597154963680387
260,Nerv,5916,0.8619854721549637
270,Nerv,5916,0.8675847457627119
280,Nerv,5916,0.8818099273607748
290,Nerv,5916,0.8745460048426149
300,Nerv,5916,0.8572941888619855
310,Nerv,5916,0.886955205811138
320,Nerv,5916,0.8687953995157385
330,Nerv,5916,0.8536622276029056
340,Nerv,5916,0.8731840193704601
350,Nerv,5916,0.8762106537530266
360,Nerv,5916,0.8615314769975787
370,Nerv,5916,0.8793886198547216
380,Nerv,5916,0.885139225181598
390,Nerv,5916,0.8636501210653753
400,Nerv,5916,0.8969430992736078
10,Preg,5916,0.6294070512820513
20,Preg,5916,0.8100961538461537
30,Preg,5916,0.6774839743589743
40,Preg,5916,0.7979433760683761
50,Preg,5916,0.8242521367521367
60,Preg,5916,0.7871260683760684
70,Preg,5916,0.7254273504273504
80,Preg,5916,0.7640224358974359
90,Preg,5916,0.7435897435897435
100,Preg,5916,0.7441239316239316
110,Preg,5916,0.7741720085470085
120,Preg,5916,0.7588141025641025
130,Preg,5916,0.7383814102564102
140,Preg,5916,0.7584134615384616
150,Preg,5916,0.7721688034188033
160,Preg,5916,0.7799145299145299
170,Preg,5916,0.7470619658119658
180,Preg,5916,0.7681623931623932
190,Preg,5916,0.780982905982906
200,Preg,5916,0.779647435897436
210,Preg,5916,0.8143696581196581
220,Preg,5916,0.7537393162393162
230,Preg,5916,0.7690972222222222
240,Preg,5916,0.7323717948717948
250,Preg,5916,0.7690972222222222
260,Preg,5916,0.7458600427350428
270,Preg,5916,0.8012820512820513
280,Preg,5916,0.7970085470085471
290,Preg,5916,0.7637553418803419
300,Preg,5916,0.751469017094017
310,Preg,5916,0.7747061965811965
320,Preg,5916,0.7540064102564104
330,Preg,5916,0.7986111111111112
340,Preg,5916,0.763755341880342
350,Preg,5916,0.781517094017094
360,Preg,5916,0.7498664529914529
370,Preg,5916,0.7776442307692307
380,Preg,5916,0.7715010683760684
390,Preg,5916,0.7799145299145299
400,Preg,5916,0.7574786324786326
10,Prod,5916,0.5715424925951242
20,Prod,5916,0.6251993620414673
30,Prod,5916,0.5999088630667577
40,Prod,5916,0.5845295055821371
50,Prod,5916,0.5864661654135338
60,Prod,5916,0.6328320802005012
70,Prod,5916,0.6583504215083162
80,Prod,5916,0.6241740715424926
90,Prod,5916,0.6465026201868306
100,Prod,5916,0.6042378673957621
110,Prod,5916,0.6360218728639782
120,Prod,5916,0.6475279106858055
130,Prod,5916,0.6156299840510366
140,Prod,5916,0.61369332421964
150,Prod,5916,0.6502620186830714
160,Prod,5916,0.6451355661881978
170,Prod,5916,0.6449077238550922
180,Prod,5916,0.6173388015493279
190,Prod,5916,0.6312371838687628
200,Prod,5916,0.6294144452039189
210,Prod,5916,0.6347687400318979
220,Prod,5916,0.5961494645705172
230,Prod,5916,0.6288448393711552
240,Prod,5916,0.6390977443609022
250,Prod,5916,0.6390977443609023
260,Prod,5916,0.6321485532011848
270,Prod,5916,0.6471861471861472
280,Prod,5916,0.6239462292093871
290,Prod,5916,0.6487810435178856
300,Prod,5916,0.6509455456823877
310,Prod,5916,0.6451355661881978
320,Prod,5916,0.634313055365687
330,Prod,5916,0.6344269765322397
340,Prod,5916,0.6492367281840966
350,Prod,5916,0.6201868307131466
360,Prod,5916,0.6233766233766234
370,Prod,5916,0.6351105035315562
380,Prod,5916,0.6237183868762817
390,Prod,5916,0.6406926406926408
400,Prod,5916,0.6437685121895649
10,Psych,5916,0.8483171968649147
20,Psych,5916,0.8510834485938221
30,Psych,5916,0.9160903642231443
40,Psych,5916,0.8709082526509913
50,Psych,5916,0.8990318118948823
60,Psych,5916,0.8905025357307514
70,Psych,5916,0.8734439834024896
80,Psych,5916,0.8861226371599815
90,Psych,5916,0.8796680497925311
100,Psych,5916,0.8722913785154449
110,Psych,5916,0.8704472106961734
120,Psych,5916,0.9128630705394191
130,Psych,5916,0.875979714153988
140,Psych,5916,0.9193176579068695
150,Psych,5916,0.8826648224988474
160,Psych,5916,0.9082526509912402
170,Psych,5916,0.9128630705394192
180,Psych,5916,0.9096357768556939
190,Psych,5916,0.9230059935454126
200,Psych,5916,0.9094052558782849
210,Psych,5916,0.9064084831719686
220,Psych,5916,0.9036422314430612
230,Psych,5916,0.9220839096357769
240,Psych,5916,0.9156293222683265
250,Psych,5916,0.8875057630244352
260,Psych,5916,0.8916551406177962
270,Psych,5916,0.8865836791147994
280,Psych,5916,0.9128630705394191
290,Psych,5916,0.9114799446749654
300,Psych,5916,0.888427846934071
310,Psych,5916,0.9114799446749655
320,Psych,5916,0.9124020285846012
330,Psych,5916,0.9110189027201475
340,Psych,5916,0.892577224527432
350,Psych,5916,0.8958045182111571
360,Psych,5916,0.892116182572614
370,Psych,5916,0.9179345320424158
380,Psych,5916,0.9151682803135085
390,Psych,5916,0.9151682803135085
400,Psych,5916,0.9147072383586906
10,Renal,5916,0.6383665191740412
20,Renal,5916,0.5748525073746313
30,Renal,5916,0.5248893805309734
40,Renal,5916,0.6251843657817109
50,Renal,5916,0.5974373156342183
60,Renal,5916,0.584070796460177
70,Renal,5916,0.5871128318584071
80,Renal,5916,0.59882005899705
90,Renal,5916,0.580844395280236
100,Renal,5916,0.5921828908554573
110,Renal,5916,0.5906157817109144
120,Renal,5916,0.578632005899705
130,Renal,5916,0.5856379056047197
140,Renal,5916,0.5781710914454278
150,Renal,5916,0.5884033923303835
160,Renal,5916,0.5920907079646017
170,Renal,5916,0.5916297935103245
180,Renal,5916,0.5860066371681416
190,Renal,5916,0.6006637168141593
200,Renal,5916,0.6041666666666667
210,Renal,5916,0.5909845132743363
220,Renal,5916,0.6016777286135693
230,Renal,5916,0.5783554572271387
240,Renal,5916,0.5836098820058998
250,Renal,5916,0.5883112094395281
260,Renal,5916,0.5921828908554573
270,Renal,5916,0.6149520648967551
280,Renal,5916,0.5881268436578172
290,Renal,5916,0.5879424778761062
300,Renal,5916,0.5825036873156343
310,Renal,5916,0.5889564896755163
320,Renal,5916,0.5861910029498525
330,Renal,5916,0.5855457227138643
340,Renal,5916,0.5912610619469028
350,Renal,5916,0.5873893805309734
360,Renal,5916,0.5659107669616519
370,Renal,5916,0.5766961651917404
380,Renal,5916,0.5724557522123894
390,Renal,5916,0.6007558997050148
400,Renal,5916,0.5832411504424779
10,Repro,5916,0.7362237471407778
20,Repro,5916,0.6972343522561864
30,Repro,5916,0.778540237055521
40,Repro,5916,0.7525473071324599
50,Repro,5916,0.7790600956539822
60,Repro,5916,0.7464129756706176
70,Repro,5916,0.7427739654813891
80,Repro,5916,0.7916406737367437
90,Repro,5916,0.7915367020170513
100,Repro,5916,0.7960074859638178
110,Repro,5916,0.7942399667290498
120,Repro,5916,0.7797878976918279
130,Repro,5916,0.7558744021626117
140,Repro,5916,0.7780203784570597
150,Repro,5916,0.7895612393428988
160,Repro,5916,0.7945518818881264
170,Repro,5916,0.7461010605115409
180,Repro,5916,0.7940320232896653
190,Repro,5916,0.7569141193595342
200,Repro,5916,0.7508837596173841
210,Repro,5916,0.7676232064878353
220,Repro,5916,0.759825327510917
230,Repro,5916,0.7795799542524434
240,Repro,5916,0.770014556040757
250,Repro,5916,0.7592014971927635
260,Repro,5916,0.7885215221459764
270,Repro,5916,0.7689748388438346
280,Repro,5916,0.7562902890413807
290,Repro,5916,0.7863381160324392
300,Repro,5916,0.7493241838220005
310,Repro,5916,0.7366396340195467
320,Repro,5916,0.7956955708047412
330,Repro,5916,0.7716781035558328
340,Repro,5916,0.7712622166770637
350,Repro,5916,0.7429819089207735
360,Repro,5916,0.7481804949053856
370,Repro,5916,0.7573300062383033
380,Repro,5916,0.7614888750259929
390,Repro,5916,0.7758369723435227
400,Repro,5916,0.7518195050946143
10,Resp,5916,0.6313606194690266
20,Resp,5916,0.6123709439528023
30,Resp,5916,0.6504424778761061
40,Resp,5916,0.6349557522123893
50,Resp,5916,0.6202986725663717
60,Resp,5916,0.6589233038348082
70,Resp,5916,0.6523783185840708
80,Resp,5916,0.6524705014749262
90,Resp,5916,0.629609144542773
100,Resp,5916,0.6161504424778761
110,Resp,5916,0.6544063421828907
120,Resp,5916,0.6338495575221238
130,Resp,5916,0.6500737463126843
140,Resp,5916,0.630438790560472
150,Resp,5916,0.6583702064896755
