n_estimators,Target,Features,ROC AUC
10,Blood,5916,0.6711881868131868
20,Blood,5916,0.7070741758241759
30,Blood,5916,0.7961881868131868
40,Blood,5916,0.7172046703296704
50,Blood,5916,0.792239010989011
60,Blood,5916,0.7723214285714286
70,Blood,5916,0.8150755494505495
80,Blood,5916,0.7416723901098902
90,Blood,5916,0.7734375
100,Blood,5916,0.756610576923077
110,Blood,5916,0.7901785714285714
120,Blood,5916,0.7877747252747254
130,Blood,5916,0.7928399725274725
140,Blood,5916,0.7967891483516484
150,Blood,5916,0.7560096153846154
160,Blood,5916,0.7759271978021978
170,Blood,5916,0.7237293956043956
180,Blood,5916,0.7870020604395604
190,Blood,5916,0.7922390109890111
200,Blood,5916,0.7822802197802198
210,Blood,5916,0.7787603021978022
220,Blood,5916,0.7704326923076923
230,Blood,5916,0.7776442307692306
240,Blood,5916,0.7696600274725275
250,Blood,5916,0.793956043956044
260,Blood,5916,0.765625
270,Blood,5916,0.7642513736263736
280,Blood,5916,0.7808207417582418
290,Blood,5916,0.7846840659340659
300,Blood,5916,0.7879464285714286
310,Blood,5916,0.7760130494505494
320,Blood,5916,0.7797046703296703
330,Blood,5916,0.792239010989011
340,Blood,5916,0.7669986263736264
350,Blood,5916,0.7946428571428572
360,Blood,5916,0.7810782967032968
370,Blood,5916,0.7823660714285714
380,Blood,5916,0.7760989010989011
390,Blood,5916,0.7765281593406593
400,Blood,5916,0.7849416208791209
10,Card,5916,0.7074175824175825
20,Card,5916,0.7211538461538461
30,Card,5916,0.7250171703296703
40,Card,5916,0.6767685439560439
50,Card,5916,0.7015796703296703
60,Card,5916,0.7116243131868132
70,Card,5916,0.6956559065934066
80,Card,5916,0.7196085164835164
90,Card,5916,0.7096497252747253
100,Card,5916,0.7138564560439561
110,Card,5916,0.7162603021978021
120,Card,5916,0.7100789835164835
130,Card,5916,0.701407967032967
140,Card,5916,0.6988324175824177
150,Card,5916,0.7196085164835164
160,Card,5916,0.7245020604395604
170,Card,5916,0.7304258241758241
180,Card,5916,0.7194368131868132
190,Card,5916,0.7056146978021979
200,Card,5916,0.6931662087912087
210,Card,5916,0.6996050824175823
220,Card,5916,0.7065590659340659
230,Card,5916,0.6939388736263735
240,Card,5916,0.7059581043956044
250,Card,5916,0.7103365384615384
260,Card,5916,0.7107657967032968
270,Card,5916,0.6990041208791209
280,Card,5916,0.7173763736263736
290,Card,5916,0.7303399725274725
300,Card,5916,0.7020089285714286
310,Card,5916,0.6980597527472527
320,Card,5916,0.7007211538461539
330,Card,5916,0.71875
340,Card,5916,0.6986607142857143
350,Card,5916,0.7099931318681318
360,Card,5916,0.704842032967033
370,Card,5916,0.711195054945055
380,Card,5916,0.6933379120879121
390,Card,5916,0.7300824175824175
400,Card,5916,0.714114010989011
10,Cong,5916,0.6082251082251082
20,Cong,5916,0.634768740031898
30,Cong,5916,0.631578947368421
40,Cong,5916,0.6029847345636818
50,Cong,5916,0.6331738437001595
60,Cong,5916,0.6444520391888813
70,Cong,5916,0.5906812485759854
80,Cong,5916,0.6077694235588973
90,Cong,5916,0.6090225563909775
100,Cong,5916,0.6124401913875598
110,Cong,5916,0.615971747550695
120,Cong,5916,0.6501480975165186
130,Cong,5916,0.6437685121895648
140,Cong,5916,0.6531100478468899
150,Cong,5916,0.6332877648667122
160,Cong,5916,0.615060378218273
170,Cong,5916,0.608339029391661
180,Cong,5916,0.6215538847117794
190,Cong,5916,0.6233766233766234
200,Cong,5916,0.6214399635452267
210,Cong,5916,0.6133515607199818
220,Cong,5916,0.6215538847117794
230,Cong,5916,0.6316928685349738
240,Cong,5916,0.6239462292093871
250,Cong,5916,0.6267942583732058
260,Cong,5916,0.5909090909090908
270,Cong,5916,0.6336295283663704
280,Cong,5916,0.6300979722032354
290,Cong,5916,0.5959216222374117
300,Cong,5916,0.6318067897015266
310,Cong,5916,0.6241740715424925
320,Cong,5916,0.6135794030530872
330,Cong,5916,0.6057188425609478
340,Cong,5916,0.6105035315561631
350,Cong,5916,0.6232627022100706
360,Cong,5916,0.6191615402141718
370,Cong,5916,0.6214399635452267
380,Cong,5916,0.6277056277056277
390,Cong,5916,0.6323763955342903
400,Cong,5916,0.6192754613807245
10,Ear,5916,0.5054587243823022
20,Ear,5916,0.4468492625933729
30,Ear,5916,0.39800804443593185
40,Ear,5916,0.4734725148438996
50,Ear,5916,0.4902317563685118
60,Ear,5916,0.43909212794483815
70,Ear,5916,0.44416778394943496
80,Ear,5916,0.46054395709634177
90,Ear,5916,0.44646619421566747
100,Ear,5916,0.46255506607929514
110,Ear,5916,0.43219689714614057
120,Ear,5916,0.4626508331737215
130,Ear,5916,0.4830492242865352
140,Ear,5916,0.43257996552384603
150,Ear,5916,0.4251101321585902
160,Ear,5916,0.44627466002681476
170,Ear,5916,0.46437464087339586
180,Ear,5916,0.4536487262976442
190,Ear,5916,0.44771116644321013
200,Ear,5916,0.43794292281172187
210,Ear,5916,0.4458915916491094
220,Ear,5916,0.45403179467534954
230,Ear,5916,0.44502968779927216
240,Ear,5916,0.4155334227159548
250,Ear,5916,0.4506799463704272
260,Ear,5916,0.453074123731086
270,Ear,5916,0.42913235012449724
280,Ear,5916,0.4475196322543574
290,Ear,5916,0.4261635701972802
300,Ear,5916,0.4528825895422333
310,Ear,5916,0.4438804826661559
320,Ear,5916,0.440911702738939
330,Ear,5916,0.43076039072974526
340,Ear,5916,0.45173338440911703
350,Ear,5916,0.42692970695269106
360,Ear,5916,0.4570963416969929
370,Ear,5916,0.44129477111664434
380,Ear,5916,0.43870905956713274
390,Ear,5916,0.4517333844091171
400,Ear,5916,0.4364106493009003
10,Endo,5916,0.7015905074476142
20,Endo,5916,0.7342842716485736
30,Endo,5916,0.7433728856349407
40,Endo,5916,0.7299924261550114
50,Endo,5916,0.7649583438525626
60,Endo,5916,0.7325170411512243
70,Endo,5916,0.8006816460489775
80,Endo,5916,0.7759404190860894
90,Endo,5916,0.8246654885130017
100,Endo,5916,0.7485483463771775
110,Endo,5916,0.817975258773037
120,Endo,5916,0.7578894218631659
130,Endo,5916,0.7576369603635447
140,Endo,5916,0.7765715728351427
150,Endo,5916,0.8062357990406462
160,Endo,5916,0.7493057308760412
170,Endo,5916,0.766220651350669
180,Endo,5916,0.7956324160565513
190,Endo,5916,0.7773289573340065
200,Endo,5916,0.7760666498359
210,Endo,5916,0.7765715728351426
220,Endo,5916,0.7823781873264326
230,Endo,5916,0.7667255743499115
240,Endo,5916,0.7682403433476395
250,Endo,5916,0.7755617268366574
260,Endo,5916,0.7934864933097703
270,Endo,5916,0.7914668013127998
280,Endo,5916,0.7915930320626104
290,Endo,5916,0.775309265337036
300,Endo,5916,0.8106538752840191
310,Endo,5916,0.7700075738449886
320,Endo,5916,0.7604140368593789
330,Endo,5916,0.7788437263317344
340,Endo,5916,0.8071194142893209
350,Endo,5916,0.7889421863165867
360,Endo,5916,0.749810653875284
370,Endo,5916,0.7445089623832366
380,Endo,5916,0.7662206513506691
390,Endo,5916,0.7725321888412017
400,Endo,5916,0.7828831103256754
10,Eye,5916,0.5154932786511733
20,Eye,5916,0.5723399407609934
30,Eye,5916,0.5692640692640693
40,Eye,5916,0.6187058555479608
50,Eye,5916,0.5994531784005468
60,Eye,5916,0.6364775575301891
70,Eye,5916,0.606516290726817
80,Eye,5916,0.5987696514012303
