Iteration,Target,Features,ROC AUC
1,Blood,5916,0.7822802197802198
2,Blood,5324,0.7929258241758241
3,Blood,4791,0.8040865384615384
4,Blood,4311,0.7830528846153846
5,Blood,3879,0.7930975274725275
6,Blood,3491,0.7679429945054945
7,Blood,3141,0.782709478021978
8,Blood,2826,0.7858001373626373
9,Blood,2543,0.7984203296703297
10,Blood,2288,0.7761847527472527
11,Blood,2059,0.7922390109890111
12,Blood,1853,0.7761847527472527
13,Blood,1667,0.7694883241758241
14,Blood,1500,0.7994505494505495
15,Blood,1350,0.7979052197802199
16,Blood,1215,0.7908653846153846
17,Blood,1093,0.7770432692307692
18,Blood,983,0.8106112637362638
19,Blood,884,0.7726648351648352
20,Blood,795,0.782967032967033
21,Blood,715,0.7738667582417583
22,Blood,643,0.7854567307692307
23,Blood,578,0.7576407967032966
24,Blood,520,0.751717032967033
25,Blood,468,0.7542925824175823
26,Blood,421,0.759271978021978
27,Blood,378,0.7525755494505495
28,Blood,340,0.75
29,Blood,306,0.781507554945055
30,Blood,275,0.7710336538461539
31,Blood,247,0.7664835164835165
32,Blood,222,0.7635645604395604
33,Blood,199,0.7625343406593408
34,Blood,179,0.7700892857142857
35,Blood,161,0.7834821428571429
36,Blood,144,0.7666552197802198
37,Blood,129,0.7723214285714286
38,Blood,116,0.7576407967032968
39,Blood,104,0.7669986263736265
40,Blood,93,0.7549793956043956
41,Blood,83,0.7144574175824177
42,Blood,74,0.7507726648351648
43,Blood,66,0.7583276098901099
44,Blood,59,0.7353193681318682
45,Blood,53,0.753691620879121
46,Blood,47,0.7083619505494506
47,Blood,42,0.7293956043956044
48,Blood,37,0.7081902472527473
49,Blood,33,0.7144574175824177
50,Blood,29,0.6917067307692306
1,Card,5916,0.6931662087912087
2,Card,5324,0.7081043956043956
3,Card,4791,0.7235576923076923
4,Card,4311,0.7052712912087912
5,Card,3879,0.7046703296703296
6,Card,3491,0.688959478021978
7,Card,3141,0.7030391483516484
8,Card,2826,0.6995192307692307
9,Card,2543,0.6711023351648351
10,Card,2288,0.7218406593406593
11,Card,2059,0.7081043956043955
12,Card,1853,0.6893887362637363
13,Card,1667,0.7026957417582417
14,Card,1500,0.698231456043956
15,Card,1350,0.6959134615384616
16,Card,1215,0.7149725274725275
17,Card,1093,0.7189217032967034
18,Card,983,0.7273351648351649
19,Card,884,0.7196943681318682
20,Card,795,0.7124828296703296
21,Card,715,0.6956559065934066
22,Card,643,0.7098214285714285
23,Card,578,0.7059581043956044
24,Card,520,0.7298248626373626
25,Card,468,0.7408138736263736
26,Card,421,0.75
27,Card,378,0.6824347527472527
28,Card,340,0.7116243131868132
29,Card,306,0.7257039835164835
30,Card,275,0.6858688186813188
31,Card,247,0.751459478021978
32,Card,222,0.7194368131868131
33,Card,199,0.7163461538461539
34,Card,179,0.7364354395604396
35,Card,161,0.737809065934066
36,Card,144,0.7469951923076924
37,Card,129,0.7100789835164836
38,Card,116,0.7354910714285715
39,Card,104,0.709220467032967
40,Card,93,0.7464800824175826
41,Card,83,0.7362637362637363
42,Card,74,0.7003777472527473
43,Card,66,0.7420157967032966
44,Card,59,0.7182348901098901
45,Card,53,0.7414148351648351
46,Card,47,0.7574690934065934
47,Card,42,0.7394402472527473
48,Card,37,0.7112809065934066
49,Card,33,0.7366071428571429
50,Card,29,0.7182348901098901
1,Cong,5916,0.6214399635452267
2,Cong,5324,0.6099339257233994
3,Cong,4791,0.6338573706994759
4,Cong,4311,0.6077694235588973
5,Cong,3879,0.6233766233766234
6,Cong,3491,0.6075415812257917
7,Cong,3141,0.6279334700387332
8,Cong,2826,0.6128958760537708
9,Cong,2543,0.6143768512189566
10,Cong,2288,0.6128958760537708
11,Cong,2059,0.6344269765322398
12,Cong,1853,0.6482114376851219
13,Cong,1667,0.6249715197083617
14,Cong,1500,0.6078833447254501
15,Cong,1350,0.6426293005240374
16,Cong,1215,0.6401230348598769
17,Cong,1093,0.6218956482114376
18,Cong,983,0.6245158350421508
19,Cong,884,0.632034632034632
20,Cong,795,0.6257689678742311
21,Cong,715,0.5963773069036227
22,Cong,643,0.5945545682387788
23,Cong,578,0.6111870585554796
24,Cong,520,0.6152882205513786
25,Cong,468,0.595807701070859
26,Cong,421,0.6050353155616314
27,Cong,378,0.5828206880838459
28,Cong,340,0.575643654591023
29,Cong,306,0.5986557302346777
30,Cong,275,0.5979722032353612
31,Cong,247,0.59045340624288
32,Cong,222,0.5774663932558669
33,Cong,199,0.5962633857370698
34,Cong,179,0.5876053770790612
35,Cong,161,0.5678970152654362
36,Cong,144,0.6075415812257917
37,Cong,129,0.5978582820688083
38,Cong,116,0.6351105035315562
39,Cong,104,0.6270221007063113
