max_features,Target,Features,ROC AUC,Precision,Recall
sqrt,Blood,5916,0.6122939560439561,0.4117647058823529,0.2692307692307692
log2,Blood,5916,0.6574519230769231,0.5625,0.34615384615384615
sqrt,Card,5916,0.6418269230769231,0.391304347826087,0.34615384615384615
log2,Card,5916,0.6449175824175823,0.6666666666666666,0.3076923076923077
sqrt,Cong,5916,0.6077694235588972,0.3125,0.2631578947368421
log2,Cong,5916,0.5792891319207109,0.25,0.21052631578947367
sqrt,Ear,5916,0.4911894273127753,0.0,0.0
log2,Ear,5916,0.515131200919364,0.25,0.043478260869565216
sqrt,Endo,5916,0.6341832870487252,0.45454545454545453,0.29411764705882354
log2,Endo,5916,0.4892703862660944,0.0,0.0
sqrt,Eye,5916,0.544315333789018,0.15789473684210525,0.15789473684210525
log2,Eye,5916,0.5266575529733424,0.14285714285714285,0.10526315789473684
sqrt,Gastr,5916,0.5097826086956522,0.125,0.05
log2,Gastr,5916,0.49130434782608695,0.0,0.0
sqrt,Hepat,5916,0.543939393939394,0.2857142857142857,0.13333333333333333
log2,Hepat,5916,0.49621212121212127,0.1,0.03333333333333333
sqrt,Immun,5916,0.48868778280542985,0.0,0.0
log2,Immun,5916,0.5081916055546888,0.2,0.034482758620689655
sqrt,Infec,5916,0.6173371647509578,0.3333333333333333,0.2777777777777778
log2,Infec,5916,0.5596264367816093,0.21428571428571427,0.16666666666666666
sqrt,Metab,5916,0.6382823871906841,0.35,0.3333333333333333
log2,Metab,5916,0.6513828238719068,0.5,0.3333333333333333
sqrt,Musc,5916,0.4979253112033195,0.0,0.0
log2,Musc,5916,0.5472568003688335,0.2,0.1111111111111111
sqrt,Neopl,5916,0.6917631917631918,0.5454545454545454,0.42857142857142855
log2,Neopl,5916,0.6829150579150579,0.6470588235294118,0.39285714285714285
sqrt,Nerv,5916,0.655266343825666,0.3125,0.35714285714285715
log2,Nerv,5916,0.5481234866828087,0.15384615384615385,0.14285714285714285
sqrt,Preg,5916,0.6164529914529914,0.5,0.25
log2,Preg,5916,0.5894764957264957,0.6,0.1875
sqrt,Prod,5916,0.5154932786511733,0.16666666666666666,0.05263157894736842
log2,Prod,5916,0.524151287309182,0.5,0.05263157894736842
sqrt,Psych,5916,0.7383586906408484,0.20833333333333334,0.5555555555555556
log2,Psych,5916,0.8001383125864453,0.2727272727272727,0.6666666666666666
sqrt,Renal,5916,0.5425884955752213,0.25,0.125
log2,Renal,5916,0.5348451327433629,0.11538461538461539,0.375
sqrt,Repro,5916,0.690268247036806,0.45,0.42857142857142855
log2,Repro,5916,0.6470160116448326,0.4375,0.3333333333333333
sqrt,Resp,5916,0.5997418879056047,0.7142857142857143,0.20833333333333334
log2,Resp,5916,0.49557522123893805,0.0,0.0
sqrt,Skin,5916,0.5164085545722714,0.3333333333333333,0.041666666666666664
log2,Skin,5916,0.5960545722713864,0.14130434782608695,0.5416666666666666
sqrt,Vasc,5916,0.5671359890109889,0.2777777777777778,0.19230769230769232
log2,Vasc,5916,0.5930631868131868,0.375,0.23076923076923078
