min_samples_split,Target,Features,F1-Score,Precision,Recall
2,Blood,5916,0.2857142857142857,0.375,0.23076923076923078
5,Blood,5916,0.2,0.2857142857142857,0.15384615384615385
10,Blood,5916,0.32558139534883723,0.4117647058823529,0.2692307692307692
20,Blood,5916,0.2727272727272727,0.3333333333333333,0.23076923076923078
30,Blood,5916,0.34782608695652173,0.4,0.3076923076923077
40,Blood,5916,0.27906976744186046,0.35294117647058826,0.23076923076923078
50,Blood,5916,0.35555555555555557,0.42105263157894735,0.3076923076923077
2,Card,5916,0.34782608695652173,0.4,0.3076923076923077
5,Card,5916,0.375,0.4090909090909091,0.34615384615384615
10,Card,5916,0.3673469387755102,0.391304347826087,0.34615384615384615
20,Card,5916,0.36,0.375,0.34615384615384615
30,Card,5916,0.36,0.375,0.34615384615384615
40,Card,5916,0.39215686274509803,0.4,0.38461538461538464
50,Card,5916,0.3673469387755102,0.391304347826087,0.34615384615384615
2,Cong,5916,0.24242424242424243,0.2857142857142857,0.21052631578947367
5,Cong,5916,0.2857142857142857,0.3125,0.2631578947368421
10,Cong,5916,0.2857142857142857,0.3125,0.2631578947368421
20,Cong,5916,0.2222222222222222,0.23529411764705882,0.21052631578947367
30,Cong,5916,0.2702702702702703,0.2777777777777778,0.2631578947368421
40,Cong,5916,0.2631578947368421,0.2631578947368421,0.2631578947368421
50,Cong,5916,0.25,0.23809523809523808,0.2631578947368421
2,Ear,5916,0.07692307692307693,0.3333333333333333,0.043478260869565216
5,Ear,5916,0.0,0.0,0.0
10,Ear,5916,0.0,0.0,0.0
20,Ear,5916,0.07407407407407407,0.25,0.043478260869565216
30,Ear,5916,0.15384615384615385,0.6666666666666666,0.08695652173913043
40,Ear,5916,0.07142857142857142,0.2,0.043478260869565216
50,Ear,5916,0.07142857142857142,0.2,0.043478260869565216
2,Endo,5916,0.3076923076923077,0.4444444444444444,0.23529411764705882
5,Endo,5916,0.3076923076923077,0.4444444444444444,0.23529411764705882
10,Endo,5916,0.35714285714285715,0.45454545454545453,0.29411764705882354
20,Endo,5916,0.4666666666666667,0.5384615384615384,0.4117647058823529
30,Endo,5916,0.45161290322580644,0.5,0.4117647058823529
40,Endo,5916,0.4,0.46153846153846156,0.35294117647058826
50,Endo,5916,0.4,0.46153846153846156,0.35294117647058826
2,Eye,5916,0.16666666666666666,0.17647058823529413,0.15789473684210525
5,Eye,5916,0.16666666666666666,0.17647058823529413,0.15789473684210525
10,Eye,5916,0.15789473684210525,0.15789473684210525,0.15789473684210525
20,Eye,5916,0.16666666666666666,0.17647058823529413,0.15789473684210525
30,Eye,5916,0.15,0.14285714285714285,0.15789473684210525
40,Eye,5916,0.2,0.19047619047619047,0.21052631578947367
50,Eye,5916,0.2,0.19047619047619047,0.21052631578947367
2,Gastr,5916,0.07142857142857142,0.125,0.05
5,Gastr,5916,0.07407407407407407,0.14285714285714285,0.05
10,Gastr,5916,0.07142857142857142,0.125,0.05
20,Gastr,5916,0.0,0.0,0.0
30,Gastr,5916,0.07142857142857142,0.125,0.05
40,Gastr,5916,0.06666666666666667,0.1,0.05
50,Gastr,5916,0.06666666666666667,0.1,0.05
2,Hepat,5916,0.22727272727272727,0.35714285714285715,0.16666666666666666
5,Hepat,5916,0.18604651162790697,0.3076923076923077,0.13333333333333333
10,Hepat,5916,0.18181818181818182,0.2857142857142857,0.13333333333333333
20,Hepat,5916,0.21739130434782608,0.3125,0.16666666666666666
30,Hepat,5916,0.21739130434782608,0.3125,0.16666666666666666
40,Hepat,5916,0.20833333333333334,0.2777777777777778,0.16666666666666666
50,Hepat,5916,0.24489795918367346,0.3157894736842105,0.2
2,Immun,5916,0.0,0.0,0.0
5,Immun,5916,0.0,0.0,0.0
10,Immun,5916,0.0,0.0,0.0
20,Immun,5916,0.0,0.0,0.0
30,Immun,5916,0.058823529411764705,0.2,0.034482758620689655
40,Immun,5916,0.0,0.0,0.0
50,Immun,5916,0.0,0.0,0.0
2,Infec,5916,0.25806451612903225,0.3076923076923077,0.2222222222222222
5,Infec,5916,0.25,0.2857142857142857,0.2222222222222222
10,Infec,5916,0.30303030303030304,0.3333333333333333,0.2777777777777778
20,Infec,5916,0.24242424242424243,0.26666666666666666,0.2222222222222222
30,Infec,5916,0.3333333333333333,0.3333333333333333,0.3333333333333333
40,Infec,5916,0.32432432432432434,0.3157894736842105,0.3333333333333333
50,Infec,5916,0.32432432432432434,0.3157894736842105,0.3333333333333333
2,Metab,5916,0.3684210526315789,0.4117647058823529,0.3333333333333333
5,Metab,5916,0.3684210526315789,0.4117647058823529,0.3333333333333333
10,Metab,5916,0.34146341463414637,0.35,0.3333333333333333
20,Metab,5916,0.35,0.3684210526315789,0.3333333333333333
30,Metab,5916,0.3684210526315789,0.4117647058823529,0.3333333333333333
40,Metab,5916,0.3333333333333333,0.3333333333333333,0.3333333333333333
50,Metab,5916,0.35,0.3684210526315789,0.3333333333333333
2,Musc,5916,0.0,0.0,0.0
5,Musc,5916,0.0,0.0,0.0
10,Musc,5916,0.0,0.0,0.0
20,Musc,5916,0.0,0.0,0.0
30,Musc,5916,0.0,0.0,0.0
40,Musc,5916,0.0,0.0,0.0
50,Musc,5916,0.0,0.0,0.0
2,Neopl,5916,0.48,0.5454545454545454,0.42857142857142855
5,Neopl,5916,0.4897959183673469,0.5714285714285714,0.42857142857142855
10,Neopl,5916,0.48,0.5454545454545454,0.42857142857142855
20,Neopl,5916,0.46153846153846156,0.5,0.42857142857142855
30,Neopl,5916,0.4528301886792453,0.48,0.42857142857142855
40,Neopl,5916,0.43636363636363634,0.4444444444444444,0.42857142857142855
50,Neopl,5916,0.4528301886792453,0.48,0.42857142857142855
2,Nerv,5916,0.3333333333333333,0.3125,0.35714285714285715
5,Nerv,5916,0.3333333333333333,0.3125,0.35714285714285715
10,Nerv,5916,0.3333333333333333,0.3125,0.35714285714285715
20,Nerv,5916,0.35294117647058826,0.3,0.42857142857142855
30,Nerv,5916,0.3448275862068966,0.3333333333333333,0.35714285714285715
40,Nerv,5916,0.375,0.3333333333333333,0.42857142857142855
50,Nerv,5916,0.35294117647058826,0.3,0.42857142857142855
2,Preg,5916,0.32,0.4444444444444444,0.25
5,Preg,5916,0.3333333333333333,0.5,0.25
10,Preg,5916,0.3333333333333333,0.5,0.25
20,Preg,5916,0.3333333333333333,0.5,0.25
30,Preg,5916,0.3333333333333333,0.5,0.25
40,Preg,5916,0.3076923076923077,0.4,0.25
50,Preg,5916,0.3333333333333333,0.5,0.25
2,Prod,5916,0.08,0.16666666666666666,0.05263157894736842
5,Prod,5916,0.08,0.16666666666666666,0.05263157894736842
10,Prod,5916,0.08,0.16666666666666666,0.05263157894736842
20,Prod,5916,0.08,0.16666666666666666,0.05263157894736842
30,Prod,5916,0.07692307692307693,0.14285714285714285,0.05263157894736842
40,Prod,5916,0.07692307692307693,0.14285714285714285,0.05263157894736842
50,Prod,5916,0.07692307692307693,0.14285714285714285,0.05263157894736842
2,Psych,5916,0.4,0.2857142857142857,0.6666666666666666
5,Psych,5916,0.30303030303030304,0.20833333333333334,0.5555555555555556
10,Psych,5916,0.30303030303030304,0.20833333333333334,0.5555555555555556
20,Psych,5916,0.2857142857142857,0.19230769230769232,0.5555555555555556
30,Psych,5916,0.32432432432432434,0.21428571428571427,0.6666666666666666
40,Psych,5916,0.29411764705882354,0.2,0.5555555555555556
50,Psych,5916,0.25,0.16129032258064516,0.5555555555555556
2,Renal,5916,0.16666666666666666,0.25,0.125
5,Renal,5916,0.16666666666666666,0.25,0.125
10,Renal,5916,0.16666666666666666,0.25,0.125
20,Renal,5916,0.15789473684210525,0.21428571428571427,0.125
30,Renal,5916,0.11428571428571428,0.18181818181818182,0.08333333333333333
40,Renal,5916,0.3,0.375,0.25
50,Renal,5916,0.21621621621621623,0.3076923076923077,0.16666666666666666
2,Repro,5916,0.4878048780487805,0.5,0.47619047619047616
5,Repro,5916,0.46511627906976744,0.45454545454545453,0.47619047619047616
10,Repro,5916,0.43902439024390244,0.45,0.42857142857142855
20,Repro,5916,0.4444444444444444,0.4166666666666667,0.47619047619047616
30,Repro,5916,0.42857142857142855,0.42857142857142855,0.42857142857142855
40,Repro,5916,0.43478260869565216,0.4,0.47619047619047616
50,Repro,5916,0.425531914893617,0.38461538461538464,0.47619047619047616
2,Resp,5916,0.3125,0.625,0.20833333333333334
5,Resp,5916,0.27586206896551724,0.8,0.16666666666666666
10,Resp,5916,0.3225806451612903,0.7142857142857143,0.20833333333333334
20,Resp,5916,0.2,0.5,0.125
30,Resp,5916,0.3125,0.625,0.20833333333333334
40,Resp,5916,0.25,0.5,0.16666666666666666
50,Resp,5916,0.24242424242424243,0.4444444444444444,0.16666666666666666
2,Skin,5916,0.07407407407407407,0.3333333333333333,0.041666666666666664
5,Skin,5916,0.07407407407407407,0.3333333333333333,0.041666666666666664
10,Skin,5916,0.07407407407407407,0.3333333333333333,0.041666666666666664
20,Skin,5916,0.07142857142857142,0.25,0.041666666666666664
30,Skin,5916,0.07692307692307693,0.5,0.041666666666666664
40,Skin,5916,0.07142857142857142,0.25,0.041666666666666664
50,Skin,5916,0.06896551724137931,0.2,0.041666666666666664
2,Vasc,5916,0.20512820512820512,0.3076923076923077,0.15384615384615385
5,Vasc,5916,0.2,0.2857142857142857,0.15384615384615385
10,Vasc,5916,0.22727272727272727,0.2777777777777778,0.19230769230769232
20,Vasc,5916,0.18604651162790697,0.23529411764705882,0.15384615384615385
30,Vasc,5916,0.23255813953488372,0.29411764705882354,0.19230769230769232
40,Vasc,5916,0.22727272727272727,0.2777777777777778,0.19230769230769232
50,Vasc,5916,0.22727272727272727,0.2777777777777778,0.19230769230769232
