min_samples_leaf,Target,ROC AUC,PR AUC
2,Gastr,0.6929347826086956,0.13578458626926218
5,Gastr,0.6893478260869565,0.14280717669332438
10,Gastr,0.693695652173913,0.14574519591726598
20,Gastr,0.6834782608695653,0.1443020445682864
30,Gastr,0.6914130434782609,0.1574377648719582
40,Gastr,0.6758695652173913,0.1452858199889462
1,Hepat,0.6357575757575756,0.21651371859327598
2,Hepat,0.6020454545454544,0.19908584440515165
5,Hepat,0.6437878787878787,0.20781182190019584
10,Hepat,0.6612121212121213,0.244667249822143
20,Hepat,0.656969696969697,0.21511825213323882
30,Hepat,0.65,0.20666187195173344
40,Hepat,0.6528030303030302,0.23758128391262706
1,Immun,0.5367452020596036,0.1418021514481001
2,Immun,0.5579653612107973,0.15590344825108438
5,Immun,0.6000936183491964,0.1543417678012025
10,Immun,0.5801997191449525,0.15279257608873648
20,Immun,0.5868310188797005,0.1533483515660967
30,Immun,0.5650647526915276,0.13490331239780878
40,Immun,0.6048525511000156,0.16253197471237965
1,Infec,0.6855842911877394,0.18121017641526754
2,Infec,0.730124521072797,0.1906890446176947
5,Infec,0.7840038314176245,0.19084196174274898
10,Infec,0.7850814176245211,0.1912269925829515
20,Infec,0.76772030651341,0.1934737367867391
30,Infec,0.7086925287356323,0.19706521327650178
40,Infec,0.7511973180076628,0.2549050841740059
1,Metab,0.7918486171761281,0.35672588271553074
2,Metab,0.805468912455812,0.352203348320652
5,Metab,0.799542524433354,0.3142224280500336
10,Metab,0.7653358286546059,0.32247106395550623
20,Metab,0.7484924100644624,0.2870981285297911
30,Metab,0.7318569349137036,0.25582348477625927
40,Metab,0.7553545435641505,0.28718016576009453
1,Musc,0.6526048870447211,0.07461279749696666
2,Musc,0.6461502996772706,0.0748259405658859
5,Musc,0.6468418626094974,0.06661504103376692
10,Musc,0.5975103734439835,0.07025531542966412
20,Musc,0.5359612724757953,0.06674721047514627
30,Musc,0.5654679575841401,0.06122106187405972
40,Musc,0.6048870447210696,0.06571421948445283
1,Neopl,0.8486164736164736,0.5730782769741628
2,Neopl,0.8551319176319175,0.5377289380381871
5,Neopl,0.8630148005148006,0.5576988849093751
10,Neopl,0.8289092664092663,0.5384835078141798
20,Neopl,0.8223938223938224,0.5193403870134087
30,Neopl,0.8067889317889319,0.5089739689551613
40,Neopl,0.803490990990991,0.5042600341828222
1,Nerv,0.8801452784503632,0.23695194501528102
2,Nerv,0.8999697336561743,0.31247656338093266
5,Nerv,0.8833232445520581,0.23337254537442506
10,Nerv,0.8760593220338984,0.20669473665342503
20,Nerv,0.8187046004842615,0.17201077353881597
30,Nerv,0.7937348668280872,0.1442222401802386
40,Nerv,0.763771186440678,0.12926660234398027
1,Preg,0.7084668803418803,0.2862119348584851
2,Preg,0.7652243589743589,0.34001632493938305
5,Preg,0.7916666666666667,0.33473354458902366
10,Preg,0.8163728632478632,0.2735463963738979
20,Preg,0.7932692307692308,0.3152949585850963
30,Preg,0.7853899572649572,0.24666335604754722
40,Preg,0.781383547008547,0.33828410464173747
1,Prod,0.544771018455229,0.1243146093208734
2,Prod,0.5958077010708589,0.12524606288470452
5,Prod,0.6437685121895649,0.15698291317628904
10,Prod,0.6670084301663248,0.21048491944589456
20,Prod,0.6875142401458191,0.24151081014046272
30,Prod,0.6417179311916155,0.1970084758790562
40,Prod,0.6428571428571428,0.19077430122697125
1,Psych,0.8570769940064545,0.2970436844118864
2,Psych,0.8782849239280774,0.3233139872158503
5,Psych,0.9041032733978791,0.3514209514089225
10,Psych,0.9114799446749654,0.3701665668723488
20,Psych,0.9114799446749654,0.3026530266907194
30,Psych,0.8697556477639465,0.2768974235640902
40,Psych,0.900645458736745,0.32344375809072035
1,Renal,0.6541297935103244,0.21931110950668564
2,Renal,0.6495206489675517,0.24488231846722214
5,Renal,0.6772676991150443,0.19908990343169436
10,Renal,0.5894174041297935,0.16193521917788276
20,Renal,0.5415744837758112,0.12030088249885912
30,Renal,0.540929203539823,0.12701501436864232
40,Renal,0.5472898230088497,0.14985045647279222
1,Repro,0.8040133083801205,0.45389777947494275
2,Repro,0.7799958411312122,0.39934180365041216
5,Repro,0.7784362653358287,0.38453553489628256
10,Repro,0.7637762528592222,0.3524032125882249
20,Repro,0.7027448533998752,0.2502266276093318
30,Repro,0.6708255354543564,0.21658349494108026
40,Repro,0.6686421293408193,0.23628192230453604
1,Resp,0.6285951327433628,0.27606856309253675
2,Resp,0.6474004424778761,0.2926135770323163
5,Resp,0.7180125368731562,0.27596144899955477
10,Resp,0.686301622418879,0.27577321958791795
20,Resp,0.6888827433628318,0.24718907586062489
30,Resp,0.6632558997050148,0.249273500328579
40,Resp,0.6474926253687316,0.23837782835561674
1,Skin,0.6515486725663717,0.1950531927255142
2,Skin,0.7192109144542773,0.19327363133298042
5,Skin,0.6889749262536873,0.2047384484110256
10,Skin,0.6559734513274336,0.1975312593221174
20,Skin,0.6122787610619469,0.13085913699280047
30,Skin,0.6035213864306785,0.14378230101936892
40,Skin,0.583886430678466,0.15037614190897666
1,Vasc,0.6616586538461537,0.22542695883393987
2,Vasc,0.6846668956043955,0.22163390369314429
5,Vasc,0.6714457417582418,0.2214995629292265
10,Vasc,0.6475789835164835,0.22776475601588156
20,Vasc,0.675995879120879,0.2437558122026455
30,Vasc,0.6315247252747253,0.222823820728113
40,Vasc,0.6371050824175823,0.20202576970394404
