min_samples_leaf,Target,ROC AUC,PR AUC
1,Blood,0.764423076923077,0.3113676126390371
2,Blood,0.7657967032967032,0.2892498165949737
5,Blood,0.7718063186813188,0.3341383185140676
10,Blood,0.7941277472527473,0.34645203780573297
20,Blood,0.7500858516483516,0.3840224859156196
30,Blood,0.7272493131868131,0.23864607493294432
40,Blood,0.7369505494505495,0.3223846215625728
1,Card,0.6792582417582418,0.2779942518778421
2,Card,0.6978880494505495,0.3341130421503883
5,Card,0.739010989010989,0.452933858640191
10,Card,0.714114010989011,0.3868605395468107
20,Card,0.7008070054945055,0.3381327298644375
30,Card,0.6832932692307693,0.278480297736791
40,Card,0.7052712912087911,0.2830271622704553
1,Cong,0.633857370699476,0.16899907274106132
2,Cong,0.6179084073820915,0.1717175369529722
5,Cong,0.6077694235588973,0.1741077475423754
10,Cong,0.575187969924812,0.1314399698358232
20,Cong,0.5784916837548417,0.12170262933806991
30,Cong,0.5910230120756437,0.11629149889399094
40,Cong,0.6079972658920028,0.11971743785043501
1,Ear,0.5831258379620762,0.1200862479087456
2,Ear,0.5896380003830684,0.1252635879184375
5,Ear,0.5270063206282322,0.14047537024087034
10,Ear,0.47232330971078335,0.13720424005617304
20,Ear,0.4257805018195748,0.12426072978810804
30,Ear,0.3716720934686841,0.07368372941768717
40,Ear,0.42961118559662903,0.12182748741985894
1,Endo,0.7640747286038879,0.2201464088860882
2,Endo,0.772027265841959,0.29778684694526314
5,Endo,0.7669780358495328,0.2846264713359867
10,Endo,0.7780863418328705,0.279272363843401
20,Endo,0.7864175713203736,0.271370317428991
30,Endo,0.6783640494824539,0.2106891517601289
40,Endo,0.6821509719767734,0.19304350970000425
1,Eye,0.6265664160401002,0.1206246928605992
2,Eye,0.645477329687856,0.14058378147650757
5,Eye,0.6641604010025063,0.13642320631727667
10,Eye,0.6015037593984962,0.12266313383506046
20,Eye,0.5666438824333561,0.11702443088188336
30,Eye,0.5627705627705627,0.10459500155125236
40,Eye,0.5406698564593302,0.0894342795710106
1,Gastr,0.5902173913043478,0.10942871790417702
