gene,SOC_ABBREV,Count
CCR5,Cong,1
CCR5,Eye,1
CCR5,Genrl,1
CCR5,Hepat,1
CCR5,Immun,2
CCR5,Infec,7
CCR5,Inj&P,2
CCR5,Inv,1
CCR5,Metab,5
CCR5,Musc,6
CCR5,Neopl,7
CCR5,Nerv,2
CCR5,Psych,1
CCR5,Renal,4
CCR5,Resp,2
CCR5,Skin,3
CCR5,Vasc,3
CD4,Cong,1
CD4,Endo,1
CD4,Immun,1
CD4,Infec,1
CD4,Inv,1
CD4,Metab,1
CD4,Nerv,1
CYP2B6,Genrl,2
CYP2B6,Hepat,2
CYP2B6,Immun,1
CYP2B6,Infec,2
CYP2B6,Inv,1
CYP2B6,Neopl,2
CYP2B6,Psych,8
KCNH2,Card,15
KCNH2,Cong,4
KCNH2,Genrl,3
KCNH2,Immun,4
KCNH2,Inv,3
KCNH2,Metab,1
KCNH2,Neopl,1
KCNH2,Nerv,1
KCNH2,Psych,4
LARS1,Blood,1
LARS1,Cong,1
LARS1,Genrl,1
LARS1,Nerv,1
LARS1,Psych,1
LARS1,Renal,1
LARS1,Resp,2
PGR,Endo,1
PGR,Eye,1
PGR,Genrl,1
PGR,Immun,1
PGR,Metab,1
PGR,Neopl,8
PGR,Repro,1
SLC47A1,Renal,1
SRY,Cong,1
SRY,Genrl,1
SRY,Nerv,1
SRY,Preg,1
SRY,Psych,2
SRY,Repro,1
SRY,Skin,1
SRY,SocCi,1
