gene,SOC_ABBREV,Count
ARL11,Neopl,2
CDK4,Eye,1
CDK4,Genrl,1
CDK4,Immun,1
CDK4,Inj&P,1
CDK4,Inv,1
CDK4,Metab,2
CDK4,Neopl,25
CDK4,Nerv,1
CDK4,Preg,1
DSG2,Blood,1
DSG2,Card,10
DSG2,Cong,4
DSG2,Gastr,1
DSG2,Genrl,1
DSG2,Neopl,1
DSG2,Nerv,1
DSG2,Psych,3
DSG2,Renal,1
DSG2,Skin,1
EPHA7,Inv,1
EPHA7,Neopl,2
EPHA7,Psych,1
EPHA7,Vasc,1
ERBB2,Inj&P,2
ERBB2,Inv,1
ERBB2,Neopl,56
ERBB2,Nerv,1
ERBB2,Preg,1
ERBB2,Psych,4
ERBB2,Vasc,1
MCEE,Cong,1
MCEE,Metab,1
MCEE,Neopl,1
PARP1,Blood,1
PARP1,Card,1
PARP1,Gastr,1
PARP1,Genrl,3
PARP1,Hepat,2
PARP1,Infec,2
PARP1,Inj&P,2
PARP1,Inv,1
PARP1,Metab,1
PARP1,Musc,4
PARP1,Neopl,12
PARP1,Nerv,6
PARP1,Psych,3
PARP1,Renal,2
PARP1,Repro,4
PARP1,Resp,3
PARP1,Skin,3
PARP1,Vasc,4
PGR,Endo,1
PGR,Eye,1
PGR,Genrl,1
PGR,Immun,1
PGR,Metab,1
PGR,Neopl,8
PGR,Repro,1
TOP2A,Genrl,1
TOP2A,Infec,1
TOP2A,Inv,1
TOP2A,Neopl,12
