gene,SOC_ABBREV,Count
GSTO1,Eye,1
GSTO1,Hepat,1
GSTO1,Inj&P,1
GSTO1,Neopl,4
GSTO1,Nerv,2
GSTO1,Psych,2
GSTO1,Skin,1
GSTO1,Vasc,1
HRH2,Card,2
HRH2,Eye,1
HRH2,Hepat,1
HRH2,Inv,1
HRH2,Neopl,2
NOS3,Card,7
NOS3,Cong,4
NOS3,Eye,5
NOS3,Gastr,4
NOS3,Genrl,2
NOS3,Hepat,5
NOS3,Immun,1
NOS3,Infec,2
NOS3,Inj&P,1
NOS3,Inv,2
NOS3,Metab,8
NOS3,Musc,2
NOS3,Neopl,15
NOS3,Nerv,2
NOS3,Preg,1
NOS3,Psych,8
NOS3,Renal,4
NOS3,Repro,7
NOS3,Resp,4
NOS3,Skin,1
NOS3,Vasc,15
NR3C1,Card,2
NR3C1,Cong,1
NR3C1,Eye,2
NR3C1,Genrl,1
NR3C1,Inj&P,1
NR3C1,Inv,1
NR3C1,Metab,4
NR3C1,Musc,2
NR3C1,Neopl,4
NR3C1,Psych,18
NR3C1,Repro,2
NR3C1,Resp,1
NR3C1,SocCi,1
NR3C1,Vasc,1
SCN5A,Blood,1
SCN5A,Card,39
SCN5A,Cong,12
SCN5A,Endo,1
SCN5A,Eye,1
SCN5A,Genrl,2
SCN5A,Hepat,1
SCN5A,Immun,3
SCN5A,Infec,1
SCN5A,Inv,2
SCN5A,Neopl,2
SCN5A,Nerv,5
SCN5A,Psych,3
SCN5A,Repro,1
SCN5A,Skin,2
SCN5A,SocCi,1
SCN5A,Surg,1
ST8SIA2,Psych,3
TTR,Blood,2
TTR,Card,4
TTR,Cong,4
TTR,Endo,1
TTR,Hepat,2
TTR,Immun,6
TTR,Neopl,1
TTR,Nerv,2
TTR,Psych,3
TTR,Renal,3
TTR,Skin,2
TTR,Vasc,2
UGT1A3,Cong,1
UGT1A3,Endo,2
UGT1A3,Immun,1
UGT1A3,Inv,1
UGT1A3,Metab,1
UGT1A3,Neopl,1
UGT1A3,Psych,2
