Isotope_Atom,atom_chiral_undef,cid,Log P_Xlogp3,Heavy_Atom,Compound Complexity_N/A,bond_chiral_undef,charge,Topological_Polar Surface Area,atom_chiral_def,bond_chiral_def,Molecular Weight_N/A,Weight_Monoisotopic,Covalent_Unit,Count_Hydrogen Bond Acceptor,Count_Hydrogen Bond Donor,Mass_Exact,Count_Rotatable Bond
0,0,8447,5.6,20,311,0,0,133,0,0,332.5,331.95703296,1,6,0,331.95703296,3
0,2,23623795,1.5,10,208,0,0,47.6,0,0,265.93,263.88977,1,2,0,265.88772,2
0,0,697993,2.4,10,158,0,0,69.4,0,0,167.3,166.98634151,1,2,1,166.98634151,0
0,0,441300,0.9,21,414,0,0,102,2,0,286.33,286.15420922,1,6,3,286.15420922,4
0,0,46220502,3.8,37,723,0,0,75,0,0,506.6,506.27179938,1,9,1,506.27179938,7
0,0,132971,4.6,26,636,0,0,33.1,6,0,349.5,349.240564612,1,2,1,349.240564612,1
0,0,78323835,1.7,22,474,0,0,99.4,0,0,323.42,323.14159610,1,6,2,323.14159610,6
0,0,71226662,3,35,845,0,0,119,1,0,465.5,465.19132300,1,6,2,465.19132300,4
0,0,71158,-1.2,11,215,0,0,91.9,0,0,181.21,181.04087901,1,4,2,181.04087901,4
0,1,41774,-8.5,44,962,0,0,321,18,0,645.6,645.24801352,1,19,14,645.24801352,9
0,1,1978,1.7,24,400,0,0,87.7,0,0,336.4,336.20490738,1,5,3,336.20490738,10
0,0,71771,4.3,23,411,0,0,75.6,0,0,354.2,353.0221633,1,5,2,353.0221633,7
0,0,1981,4.2,29,620,0,0,94.8,0,0,415.8,415.0822650,1,6,1,415.0822650,7
0,0,76959346,N/A,178,412,0,0,934,0,0,2508.6,2507.1524268,15,54,22,2508.1557816,16
0,0,1986,-0.3,13,297,0,0,152,0,0,222.3,221.98813241,1,7,2,221.98813241,2
0,0,176,-0.2,4,31,0,0,37.3,0,0,60.05,60.021129366,1,2,1,60.021129366,0
0,0,1989,2.4,22,498,0,0,101,0,0,324.4,324.11437830,1,4,2,324.11437830,4
0,0,187,0.2,10,115,0,1,26.3,0,0,146.21,146.118103753,1,2,0,146.118103753,4
0,0,12035,0.4,10,148,0,0,67.4,1,0,163.20,163.03031432,1,4,3,163.03031432,3
0,0,5310993,-1,11,162,0,0,75.7,0,0,154.12,154.03784206,1,4,1,154.03784206,1
0,0,5284513,6.1,24,539,0,0,46.5,0,4,326.4,326.18819469,1,3,1,326.18819469,6
0,0,11434515,4.7,33,647,0,1,112,1,0,484.7,484.16162579,1,6,1,484.16162579,10
0,0,5284514,1.6,26,514,0,0,53.4,0,2,348.4,348.183778013,1,4,1,348.183778013,6
0,0,287180,0.6,22,482,0,0,70.5,0,0,294.30,294.10044231,1,5,1,294.10044231,3
0,0,135398513,-1.9,16,308,0,0,115,0,0,225.20,225.08618923,1,5,3,225.08618923,4
0,0,60164,7.7,31,644,0,0,46.5,0,0,412.5,412.20384475,1,3,1,412.20384475,4
0,0,60172,-2,18,327,0,0,136,0,0,273.19,273.06269088,1,8,3,273.06269088,5
0,0,190,-0.1,10,127,0,0,80.5,0,0,135.13,135.05449518,1,4,2,135.05449518,0
0,0,60961,-1.1,19,335,0,0,140,4,0,267.24,267.09675391,1,8,4,267.09675391,2
0,1,441397,2.7,32,756,0,0,163,4,0,465.5,465.15697138,1,9,2,465.15697138,10
0,1,2284,-1,14,191,0,0,63.3,0,0,213.66,213.0556563,1,3,2,213.0556563,4
0,0,124081896,3.8,40,1090,0,0,123,2,0,571.6,571.12247758,1,12,0,571.12247758,6
0,0,54585,2.2,26,545,0,0,149,0,0,357.32,357.09608521,1,8,4,357.09608521,7
0,1,54766,1.2,26,446,0,0,91.3,0,0,367.4,367.21072103,1,6,2,367.21072103,8
0,0,16229,1.2,28,554,0,0,81.9,0,0,385.5,385.21138974,1,5,1,385.21138974,8
0,0,44205240,-0.5,26,678,0,0,129,0,0,371.4,371.11644398,1,7,1,371.11644398,5
0,0,5355457,N/A,1,0,0,0,0,0,0,137.33,137.905247,1,0,0,137.905247,0
0,0,154257,6.1,35,623,0,0,57.9,0,0,470.6,470.25694295,1,4,2,470.25694295,7
0,0,9854073,2.7,60,1690,0,0,202,11,0,835.9,835.37790549,1,14,3,835.37790549,15
0,0,54746,3.4,33,713,0,0,71.7,3,0,451.6,451.29472544,1,4,2,451.29472544,8
0,0,54713659,2.1,29,814,0,0,99.2,2,0,405.4,405.11362698,1,8,2,405.11362698,3
0,0,25102847,5.4,37,795,0,0,98.8,0,0,501.5,501.16999904,1,7,2,501.16999904,8
0,0,2519,-0.1,14,293,0,0,58.4,0,0,194.19,194.08037557,1,3,0,194.08037557,0
0,0,5288783,4.3,30,743,0,0,60.7,7,3,412.6,412.29774513,1,3,3,412.29774513,5
0,34,16129616,-16.6,239,7970,0,0,1560,0,0,3431.9,3429.7133079,1,55,52,3430.7166627,99
0,0,5460341,N/A,1,0,0,0,0,0,0,40.08,39.9625908,1,0,0,39.9625908,0
0,0,84512,N/A,3,0,0,0,0,0,0,78.07,77.9593972,3,2,0,77.9593972,0
0,11,260656,8.3,32,801,0,0,40.5,0,0,442.7,442.381080833,1,2,2,442.381080833,1
0,2,6616,3.3,10,176,0,0,0,0,0,136.23,136.125200510,1,0,0,136.125200510,0
0,2,2537,2.2,11,217,0,0,17.1,0,0,152.23,152.120115130,1,1,0,152.120115130,0
0,0,24360,1,26,742,0,0,79.7,1,0,348.4,348.11100700,1,5,1,348.11100700,1
0,0,24812758,3.2,31,574,0,0,118,5,0,444.5,444.14067323,1,7,4,444.14067323,5
0,0,2541,4.1,33,660,0,0,119,0,0,440.5,440.15968852,1,7,2,440.15968852,7
0,0,9854012,-1,44,1140,0,0,307,4,0,776.4,774.9483145,1,21,7,774.9483145,15
0,0,644019,6.5,23,414,0,0,40.5,2,0,314.5,314.224580195,1,2,2,314.224580195,6
0,0,656615,1.9,26,707,0,0,74.6,6,0,358.5,358.21440943,1,4,2,358.21440943,3
0,0,60953,0.6,25,582,0,0,121,4,0,359.35,359.14926359,1,7,3,359.14926359,7
0,0,3000502,N/A,93,2470,0,0,737,12,2,1321.4,1320.69839421,2,23,27,1320.69839421,19
0,0,1548943,3.6,22,341,0,0,58.6,0,1,305.4,305.19909372,1,3,2,305.19909372,9
0,0,44093,0.3,14,244,0,0,58.6,2,0,217.29,217.07726451,1,4,2,217.07726451,3
0,0,5831,N/A,11,117,0,0,52.3,0,0,182.65,182.0822054,2,3,1,182.0822054,4
0,0,2554,2.5,18,326,0,0,46.3,0,0,236.27,236.094963011,1,1,1,236.094963011,0
0,0,6129,2.4,15,230,0,0,38.3,0,0,201.22,201.078978594,1,2,1,201.078978594,2
0,1,20824,1.1,26,645,0,0,149,3,0,378.4,378.08855747,1,7,3,378.08855747,5
0,0,636403,6.4,41,1200,0,0,118,9,0,570.8,570.35565393,1,7,2,570.35565393,6
0,0,16681432,-1.1,69,1850,0,0,388,8,0,988.2,987.48478785,1,13,10,987.48478785,18
0,0,34359,-2.2,16,261,0,0,116,1,0,226.23,226.09535693,1,6,5,226.09535693,4
0,0,31072,0.7,12,240,0,0,64.9,0,0,186.23,186.04629874,1,3,0,186.04629874,2
0,1,2564,2.9,20,267,0,0,25.4,0,0,290.79,290.1185909,1,3,0,290.1185909,6
0,0,193653,-3.1,11,161,0,0,126,1,0,179.20,179.02522894,1,6,3,179.02522894,5
0,0,5462310,0.6,1,0,0,0,0,0,0,12.011,12,1,0,0,12,0
0,0,280,0.9,3,18.3,0,0,34.1,0,0,44.009,43.989829239,1,2,0,43.989829239,0
0,0,426756,N/A,13,177,0,0,76.6,0,0,371.25,371.044501,4,6,4,371.044501,0
0,0,5281075,2.9,26,473,0,0,98,5,2,368.5,368.25627424,1,5,4,368.25627424,12
0,1,36976,-0.1,19,304,0,0,108,0,0,267.32,267.15829154,1,4,5,267.15829154,5
0,1,33672,3,32,774,0,0,138,3,0,454.5,454.11985760,1,7,2,454.11985760,7
0,0,11556711,4.7,52,1180,0,0,158,5,0,719.9,719.42579917,1,8,4,719.42579917,20
0,0,121396,-2.4,13,227,0,0,130,1,0,190.15,190.05897142,1,5,4,190.05897142,5
0,0,11154555,4.3,28,491,0,0,38.8,0,0,427.4,426.1953170,1,3,1,426.1953170,5
0,1,2576,1.9,18,281,0,0,90.7,0,0,260.33,260.17360725,1,4,2,260.17360725,9
0,4,24748,N/A,16,169,0,0,156,0,0,240.21,240.08451746,2,8,6,240.08451746,5
0,0,2578,1.5,12,156,0,0,61.8,0,0,214.05,213.0071819,1,3,1,213.0071819,4
0,1,2583,1,21,354,0,0,70.6,0,0,292.37,292.17869263,1,4,3,292.17869263,6
0,0,135565560,-2.5,65,2100,0,0,407,12,3,910.8,910.21677296,1,22,15,910.21677296,11
0,1,2585,4.2,30,508,0,0,75.7,0,0,406.5,406.18925731,1,5,3,406.18925731,10
0,17,73995022,-7.1,143,4830,0,0,1110,0,0,2062.0,2060.8211892,1,61,37,2060.8211892,74
0,0,16119814,0.3,77,1900,0,0,412,16,0,1093.3,1092.64306214,1,18,16,1092.64306214,23
0,0,9064,0.4,21,364,0,0,110,2,0,290.27,290.07903816,1,6,5,290.07903816,1
0,0,73415827,N/A,8,62.2,0,0,89.6,0,0,192.25,191.8807666,4,5,1,191.8807666,0
0,0,6032,-6.9,33,638,0,0,283,15,0,484.5,484.23805798,1,15,11,484.23805798,6
0,0,16197727,-3.5,118,3360,0,0,643,12,0,1646.8,1645.83651040,1,22,23,1645.83651040,51
0,0,10184653,3.6,34,702,0,0,88.6,1,1,485.9,485.1629955,1,8,2,485.1629955,8
0,0,82148,2.7,18,280,0,0,38.3,0,0,243.30,243.125928785,1,2,1,243.125928785,4
0,0,6100671,1.8,24,570,0,0,46.9,9,0,326.4,326.199428076,1,4,2,326.199428076,1
0,0,5950,-3,6,61.8,0,0,63.3,1,0,89.09,89.047678466,1,3,2,89.047678466,1
0,0,2082,2.9,18,290,0,0,92.3,0,0,265.33,265.08849790,1,4,2,265.08849790,5
0,0,30951,2.5,15,230,0,0,46.5,0,0,226.65,226.0396719,1,3,1,226.0396719,5
0,0,5311000,2.2,28,790,0,0,94.8,9,0,408.9,408.1703517,1,5,3,408.1703517,2
0,1,136146352,N/A,18,235,0,0,124,0,0,314.55,313.979053,8,9,7,313.979053,1
