Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
2.2,0,0,1,0,2,2,0,182137,237.0920418,237.72,0,16,1,269,1,29.1,237.0920418
2.6,0,0,1,0,5,5,0,3822,395.16451973,395.4,0,29,0,627,1,69.7,395.16451973
3,0,0,0,0,1,3,1,33746,368.0927701,368.8,0,26,0,631,1,49.9,368.0927701
4.3,0,0,0,0,7,6,0,456201,530.1487608,531.4,0,36,2,735,1,69.1,530.1487608
3.1,0,0,1,0,4,3,1,3825,254.094294304,254.28,0,19,0,331,1,54.4,254.094294304
1.9,0,0,1,0,3,3,1,3826,255.08954328,255.27,0,19,0,376,1,59.3,255.08954328
3.2,0,0,0,0,0,3,0,3827,309.11873540,309.4,0,22,0,476,1,48.6,309.11873540
3.1,0,0,4,0,8,4,2,3869,328.17869263,328.4,0,24,0,385,1,95.6,328.17869263
4.5,0,0,1,0,11,7,0,5311217,455.23078777,455.5,1,33,0,805,1,90.9,455.23078777
0.3,0,0,2,0,6,3,0,219078,250.13174244,250.29,0,18,1,275,1,67.4,250.13174244
-0.7,0,0,2,0,1,3,1,612,90.031694049,90.08,0,6,0,59.1,1,57.5,90.031694049
-5.2,0,0,9,0,8,11,0,157355,344.13186158,344.31,0,23,9,343,1,201,344.13186158
-4.3,0,0,8,0,5,11,0,11333,342.11621151,342.30,0,23,9,395,1,190,342.11621151
-0.9,0,0,2,0,2,4,0,60825,229.05211239,229.26,0,15,2,331,1,113,229.05211239
1.4,0,0,2,0,1,5,0,3878,255.0078506,256.09,0,16,0,242,1,90.7,255.0078506
0.2,0,0,8,0,12,20,0,656630,984.49299481,985.1,0,69,26,1870,1,288,984.49299481
2.5,0,0,13,0,17,14,0,6918011,1095.46702979,1096.3,0,77,9,2000,1,406,1095.46702979
2.8,0,0,1,0,5,8,1,3883,369.07588236,369.4,0,25,0,480,1,87.1,369.07588236
N/A,0,0,0,0,0,0,0,23926,138.906363,138.9055,0,1,0,0,1,0,138.906363
